EEG	Lag_1	Lag_2	Lag_5	Lag_10	STAIcol	STAIrow	STAIquad	sd
531	0.9900	0.9680	0.9150	0.8520	-0.0276	-0.0348	0.0054	22.45
603	0.9820	0.9450	0.8450	0.6440	0.0163	-0.0263	0.0117	24.83
617	0.9880	0.9640	0.9050	0.8010	0.1577	-0.0828	0.2513	26.11
610	0.9590	0.8670	0.7040	0.6670	0.0395	0.0139	0.1021	28.41
598	0.9900	0.9670	0.9110	0.8120	0.1432	0.0306	0.1250	28.78
601	0.9910	0.9710	0.9040	0.7560	0.0155	-0.0289	0.0087	29.60
530	0.9930	0.9780	0.9490	0.8900	-0.0192	-0.0608	0.0450	30.33
556	0.9720	0.9130	0.8070	0.6530	0.0148	-0.0163	0.0152	30.69
626	0.9810	0.9420	0.8700	0.7640	0.1845	-0.0219	0.1420	31.60
624	0.9710	0.9150	0.8340	0.6980	-0.0162	0.0283	0.0442	32.38
568	0.9890	0.9620	0.8850	0.7250	0.0217	0.0774	0.0393	32.45
608	0.9910	0.9720	0.9280	0.8590	-0.0248	-0.0013	0.0070	32.70
620	0.9910	0.9710	0.9250	0.8440	0.0077	-0.0336	0.0297	32.78
557	0.9600	0.8920	0.8300	0.7020	-0.0130	-0.0117	0.0382	34.52
615	0.9860	0.9550	0.8730	0.7300	0.0837	-0.0700	0.1504	37.07
576	0.9670	0.9020	0.8230	0.7650	-0.0677	0.1118	0.0255	37.68
625	0.9890	0.9670	0.9190	0.8440	0.3445	-0.0221	0.5296	39.05
605	0.9880	0.9610	0.8970	0.8210	0.0048	0.0093	0.0072	39.21
618	0.9940	0.9820	0.9580	0.9100	-0.0030	-0.0040	0.0146	40.11
609	0.9830	0.9490	0.8720	0.7830	0.1284	-0.0017	0.0997	41.38
616	0.9370	0.8130	0.7150	0.7010	-0.0308	0.1034	0.0470	41.68
607	0.9620	0.8950	0.8570	0.7860	-0.0003	0.0731	0.0875	42.95
593	0.9720	0.9190	0.8740	0.8460	-0.0037	-0.0083	0.0068	45.97
628	0.9560	0.8830	0.8810	0.8370	0.0213	-0.0271	0.0315	46.73
597	0.9330	0.8210	0.7960	0.7590	-0.0519	-0.0338	0.0554	47.45
580	0.9890	0.9670	0.9350	0.9010	0.0146	-0.0436	0.0608	49.85
590	0.9810	0.9430	0.8840	0.8190	0.0019	0.0018	0.0051	50.13
611	0.9890	0.9670	0.9130	0.7980	0.0499	-0.0122	0.0964	50.21
592	0.9980	0.9950	0.9900	0.9830	0.0968	0.0478	0.0136	50.86
543	0.9940	0.9800	0.9160	0.7660	-0.0198	-0.0310	0.0373	52.11
622	0.9850	0.9560	0.9250	0.8990	0.0039	-0.0769	0.0980	53.00
612	0.9880	0.9630	0.9260	0.8810	-0.0519	0.1105	0.0620	53.88
582	0.9960	0.9890	0.9760	0.9580	-0.0190	0.0275	0.0293	56.96
