ID	eeg_bin	eeg_bc	eeg_ed	eeg_eg	eeg_fib	qc_row	qc_col	qc_quad	sd
531	66084	30444	38463	49744	38330	30352	32888	29696	22.45
603	65364	30421	35705	44759	34728	30828	32900	30580	24.83
617	59688	27478	32169	40378	31316	28148	29372	27676	26.11
610	63404	29659	35572	45200	34970	30324	31524	29964	28.41
598	58572	27649	32178	40436	31344	28596	29900	28208	28.78
601	64632	30506	38227	50233	38604	31080	32136	30508	29.60
530	60832	29053	35012	45379	34971	29820	31212	28944	30.33
556	62604	29019	34528	43470	33685	29584	32400	29200	30.69
626	65472	30751	35761	45185	35005	32524	33044	31152	31.60
624	62284	30561	33716	42393	32866	31348	32540	30856	32.38
568	63544	29014	34158	42792	33200	28780	31536	28364	32.45
608	65032	30545	38351	50295	38678	30456	33156	30304	32.70
620	64504	30116	35139	44319	34341	31140	32616	30600	32.78
557	63264	28504	36010	46401	35779	28892	31664	28860	34.52
615	62304	29146	35066	44587	34476	29472	31832	29472	37.07
576	65772	31812	37177	47736	36854	33224	34392	32060	37.68
625	64944	30719	36129	45676	35372	32136	33644	31336	39.05
605	65788	31604	38201	49721	38282	31916	34276	31576	39.21
618	64788	30762	35972	45791	35415	30432	32184	30312	40.11
609	65192	31453	36135	45641	35358	32968	33924	32072	41.38
616	70684	34806	42177	55230	42488	36648	37320	35544	41.68
607	64064	30508	34203	42697	33151	32064	34036	31436	42.95
593	64784	29339	34762	43412	33699	30008	31216	29492	45.97
628	75904	37209	44885	58930	45288	39052	40400	38240	46.73
597	74284	36275	41542	53023	40981	37492	39360	37180	47.45
580	72020	33121	38796	48582	37700	33864	36616	33292	49.85
590	65148	30113	35149	44016	34147	30448	32396	30236	50.13
611	63936	30665	36467	46659	36044	31756	33028	31092	50.21
592	65704	31932	38356	50069	38534	32180	32948	31964	50.86
543	63748	30666	36226	46238	35733	32388	33324	31876	52.11
622	64392	30275	35910	45410	35160	31528	33112	31040	53.00
612	72540	34408	40237	51112	39541	34616	38372	34816	53.88
582	68136	32797	37729	47947	37099	34104	35024	33180	56.96
554	69976	33812	41968	55292	42454	33456	35804	32968	69.84
627	66456	32818	40116	52687	40493	33576	34896	33324	71.09
585	64140	29945	34707	43512	33744	30576	34256	30696	74.81
583	66500	31047	36606	46300	35851	32044	34184	31360	88.14
621	64796	31323	38122	49465	38107	31788	34028	31296	117.48
579	64636	31835	35700	45158	34959	32292	34460	32352	121.44
614	65664	52556	35908	45423	35183	52896	52988	52988	4855.69
602	64384	51530	35258	44537	34502	51984	51804	52012	4905.15
510	68020	55266	38619	49391	38171	57364	57364	57396	5032.11
519	70216	56197	41583	54655	41994	58360	58360	58360	5072.14
512	68832	55090	38631	49462	38228	57212	57212	57212	5122.75
509	65344	53092	38220	49605	38221	55108	55108	55136	5137.34
552	67028	54458	36792	46222	35850	56556	56556	56556	5148.77
533	63388	51500	37378	48713	37497	53484	53484	53484	5188.28
542	64904	52732	38962	51132	39361	54764	54764	54764	5231.99
524	65960	52790	35859	45230	35057	54824	54824	54824	5233.24
523	65744	52619	36984	47435	36640	54644	54644	54644	5247.38
575	65092	52095	35288	44335	34375	54104	54104	54104	5266.50
545	64048	52036	36845	47433	36604	54040	54040	54040	5267.17
537	64912	51952	37276	48204	37160	53952	53952	53952	5271.22
532	64948	51982	37521	48729	37534	53984	53984	53984	5274.26
528	63648	51714	34743	43544	33782	53704	53704	53704	5282.62
584	64576	51685	36951	47616	36740	53676	53676	53676	5283.23
525	63664	51726	35443	44907	34772	53720	53720	53720	5285.13
551	63020	51203	34476	43307	33582	53176	53176	53176	5289.27
558	58132	47230	32439	41108	31821	49048	49048	49048	5497.63
536	59348	47498	33817	43631	33651	49328	49328	49328	5509.82
522	56468	45193	31974	41145	31744	46932	46932	46932	5632.62
529	67216	53796	36599	46074	35705	55868	55868	55868	5912.26
619	66712	53394	36642	46313	35863	55452	55452	55452	5932.37
520	65936	52774	37412	48186	37181	54808	54808	54808	5960.29
541	64620	52502	37067	47654	36781	54524	54524	54524	5981.85
595	64792	51856	34410	42882	33312	53856	53852	53856	6018.04
534	63588	51664	36333	46636	36012	53652	53652	53652	6032.35
550	59064	47989	34449	44679	34419	49836	49836	49836	6255.73
588	75872	60724	41430	52393	40592	63064	63064	63064	6631.71
623	69364	56356	40192	51712	39906	58528	58528	58528	6722.37
553	67640	54956	36913	46253	35894	57072	57072	57072	6789.01
517	68816	55078	40628	53000	40768	57200	57200	57200	6839.90
507	64644	52522	36159	45821	35470	54544	54484	54544	6911.00
548	65336	53084	38145	49457	38105	55128	55096	55128	6914.06
555	65176	52954	39741	52361	40198	54992	54992	54992	6937.42
599	66280	53046	40322	53462	41011	55088	55088	55088	6953.92
591	64644	52523	40410	53189	40784	54544	54544	54544	6968.96
513	64256	52208	36540	46705	36097	54220	54220	54220	6980.64
516	64424	52342	36405	46455	35919	54328	54360	54360	6991.13
515	64440	52355	37079	47726	36841	54340	54372	54372	6992.23
564	65540	52456	36224	46033	35618	54476	54476	54476	6993.32
526	64784	52636	37302	48043	37069	54664	54664	54664	6994.74
518	68784	55052	39315	50888	39247	57172	57172	57172	6994.77
604	64136	52108	36417	46421	35883	54084	54116	54116	6998.72
565	65268	52238	36731	47090	36371	54252	54248	54252	7008.42
508	63148	51307	35569	45319	35051	53284	53224	53284	7012.72
589	63676	51735	37244	48357	37238	53728	53728	53728	7023.27
596	63588	51664	33638	41544	32339	53652	53652	53652	7025.68
594	64872	51919	36382	46594	35999	53920	53920	53920	7026.78
587	64660	51752	34845	43749	33934	53744	53744	53744	7040.18
514	64796	51860	36082	46001	35562	53860	53860	53860	7050.20
559	64468	51597	37111	48145	37092	53584	53584	53584	7052.26
549	62912	51115	36887	47958	36959	53084	53084	53084	7077.93
511	64196	51379	37351	48721	37514	53356	53356	53356	7080.91
567	63644	50939	36183	46552	35912	52900	52900	52900	7096.70
546	62704	50947	37223	48671	37439	52908	52908	52908	7110.95
562	63068	50477	35032	44601	34494	52424	52424	52424	7125.11
566	65624	52522	35870	45268	35086	54544	54544	54544	7136.45
578	65672	52559	35837	45183	35013	54584	54584	54584	7143.10
569	65592	52496	36501	46451	35933	54520	54520	54520	7143.55
547	64104	52082	36718	47255	36486	54088	54088	54088	7182.82
606	63864	51889	37312	48242	37187	53856	53888	53888	7442.89
527	63204	51351	36309	46762	36095	53328	53328	53328	7497.26
586	60760	48629	34225	43911	33899	50504	50504	50504	8003.89
563	62696	50179	33111	41241	32052	52112	52112	52112	8137.45
581	68772	55877	38493	48751	37757	58028	57996	57996	8403.90
521	65844	53498	38572	50128	38628	55528	55560	55560	8421.12
561	65536	52450	36013	45699	35381	54472	54472	54472	8751.64
574	64664	52537	36164	45889	35514	54532	54560	54500	8781.63
600	66856	53509	37602	48224	37256	55572	55572	55572	8782.38
539	43572	35401	25214	32533	25103	36768	36768	36768	9585.90
560	63312	50672	35985	46286	35724	52624	52624	52624	9935.34
573	61676	50112	35678	46151	35586	52044	52044	52044	10080.51
613	30088	24444	17043	21779	16832	25388	25388	25372	10117.19
570	64404	52328	34805	43493	33788	54344	54344	54344	10361.99
577	69276	56286	37106	46053	35833	58452	58452	58452	11186.48
538	65124	52912	36230	46172	35759	54952	54952	54952	12175.47
535	65092	64120	43713	58666	44665	64124	64124	64124	1554226.88
540	59024	59024	32708	41424	32064	59028	59028	59028	1605167.25
