ID	row	col	quad
507	54544	54484	54544
508	53284	53224	53284
509	55108	55108	55136
510	57364	57364	57396
511	53356	53356	53356
512	57212	57212	57212
513	54220	54220	54220
514	53860	53860	53860
515	54340	54372	54372
516	54328	54360	54360
517	57200	57200	57200
518	57172	57172	57172
519	58360	58360	58360
520	54808	54808	54808
521	55528	55560	55560
522	46932	46932	46932
523	54644	54644	54644
524	54824	54824	54824
525	53720	53720	53720
526	54664	54664	54664
527	53328	53328	53328
528	53704	53704	53704
529	55868	55868	55868
530	29820	31212	28944
531	30352	32888	29696
532	53984	53984	53984
533	53484	53484	53484
534	53652	53652	53652
535	64124	64124	64124
536	49328	49328	49328
537	53952	53952	53952
538	54952	54952	54952
539	36768	36768	36768
540	59028	59028	59028
541	54524	54524	54524
542	54764	54764	54764
543	32388	33324	31876
545	54040	54040	54040
546	52908	52908	52908
547	54088	54088	54088
548	55128	55096	55128
549	53084	53084	53084
550	49836	49836	49836
551	53176	53176	53176
552	56556	56556	56556
553	57072	57072	57072
554	33456	35804	32968
555	54992	54992	54992
556	29584	32400	29200
557	28892	31664	28860
558	49048	49048	49048
559	53584	53584	53584
560	52624	52624	52624
561	54472	54472	54472
562	52424	52424	52424
563	52112	52112	52112
564	54476	54476	54476
565	54252	54248	54252
566	54544	54544	54544
567	52900	52900	52900
568	28780	31536	28364
569	54520	54520	54520
570	54344	54344	54344
573	52044	52044	52044
574	54532	54560	54500
575	54104	54104	54104
576	33224	34392	32060
577	58452	58452	58452
578	54584	54584	54584
579	32292	34460	32352
580	33864	36616	33292
581	58028	57996	57996
582	34104	35024	33180
583	32044	34184	31360
584	53676	53676	53676
585	30576	34256	30696
586	50504	50504	50504
587	53744	53744	53744
588	63064	63064	63064
589	53728	53728	53728
590	30448	32396	30236
591	54544	54544	54544
592	32180	32948	31964
593	30008	31216	29492
594	53920	53920	53920
595	53856	53852	53856
596	53652	53652	53652
597	37492	39360	37180
598	28596	29900	28208
599	55088	55088	55088
600	55572	55572	55572
601	31080	32136	30508
602	51984	51804	52012
603	30828	32900	30580
604	54084	54116	54116
605	31916	34276	31576
606	53856	53888	53888
607	32064	34036	31436
608	30456	33156	30304
609	32968	33924	32072
610	30324	31524	29964
611	31756	33028	31092
612	34616	38372	34816
613	25388	25388	25372
614	52896	52988	52988
615	29472	31832	29472
616	36648	37320	35544
617	28148	29372	27676
618	30432	32184	30312
619	55452	55452	55452
620	31140	32616	30600
621	31788	34028	31296
622	31528	33112	31040
623	58528	58528	58528
624	31348	32540	30856
625	32136	33644	31336
626	32524	33044	31152
627	33576	34896	33324
628	39052	40400	38240
