%	Min	Max	Mean	Median	Std. Dev.	STAI	TC L1	TC L2	TC L5	TC L10
APCP	-2004.0	2182.0	-431.77	-102.0	906.37	0.9792	0.652	0.483	0.262	0.126
CAPE	-1.0	410867.0	1671.03	0.0	11708.37	0.9093	0.954	0.854	0.539	0.271
CONV	-1.0	100.0	1.11	0.0	9.87	0.9649	0.646	0.468	0.213	0.081
DLWRF	9919.0	47911.0	22147.16	23230.0	8254.09	0.9422	0.967	0.933	0.802	0.599
DSWRF	-1.0	128095.0	11581.99	0.0	20572.08	0.9773	0.943	0.797	0.126	-0.450
PEVAP	-79.0	185.0	-10.05	1.0	40.21	0.9609	0.894	0.788	0.321	-0.223
PRES	6301609.0	10502674.0	8679280.44	9320085.0	1438057.70	0.9760	0.995	0.982	0.933	0.832
SPFH	-1.0	2.0	-0.18	0.0	0.47	0.9727	0.887	0.804	0.620	0.438
TMP	23421.0	31223.0	26531.28	27016.0	1965.16	0.9392	0.991	0.966	0.833	0.615
UGRD	-2163.0	2147.0	-409.97	-25.0	992.03	0.9961	0.988	0.959	0.828	0.601
VGRD	-2004.0	2182.0	-431.77	-102.0	906.37	0.9997	0.989	0.963	0.841	0.614
