"id";"fecha";"tipo_elem";"intensidad";"ocupacion";"carga";"vmed";"error";"periodo_integracion"
1001;"2023-11-01 00:00:00";"C30";"1188";"3";"0";"64";"N";5
1001;"2023-11-01 00:15:00";"C30";"840";"2";"0";"52";"N";5
1001;"2023-11-01 00:30:00";"C30";"1044";"2";"0";"55";"N";5
1001;"2023-11-01 00:45:00";"C30";"660";"2";"0";"53";"N";5
1001;"2023-11-01 01:00:00";"C30";"612";"1";"0";"59";"N";5
1001;"2023-11-01 01:15:00";"C30";"540";"1";"0";"66";"N";5
1001;"2023-11-01 01:30:00";"C30";"528";"1";"0";"67";"N";5
1001;"2023-11-01 01:45:00";"C30";"600";"1";"0";"57";"N";5
1001;"2023-11-01 02:00:00";"C30";"420";"1";"0";"58";"N";5
1001;"2023-11-01 02:15:00";"C30";"240";"1";"0";"68";"N";5
1001;"2023-11-01 02:30:00";"C30";"348";"1";"0";"60";"N";5
1001;"2023-11-01 02:45:00";"C30";"492";"1";"0";"65";"N";5
1001;"2023-11-01 03:00:00";"C30";"420";"1";"0";"62";"N";5
1001;"2023-11-01 03:15:00";"C30";"456";"1";"0";"65";"N";5
1001;"2023-11-01 03:30:00";"C30";"444";"1";"0";"61";"N";5
1001;"2023-11-01 03:45:00";"C30";"420";"1";"0";"62";"N";5
1001;"2023-11-01 04:00:00";"C30";"336";"1";"0";"56";"N";5
1001;"2023-11-01 04:15:00";"C30";"468";"1";"0";"54";"N";5
1001;"2023-11-01 04:30:00";"C30";"384";"1";"0";"57";"N";5
1001;"2023-11-01 04:45:00";"C30";"252";"1";"0";"60";"N";5
1001;"2023-11-01 05:00:00";"C30";"216";"0";"0";"57";"N";5
1001;"2023-11-01 05:15:00";"C30";"288";"1";"0";"56";"N";5
1001;"2023-11-01 05:30:00";"C30";"372";"1";"0";"55";"N";5
1001;"2023-11-01 05:45:00";"C30";"432";"1";"0";"63";"N";5
1001;"2023-11-01 06:00:00";"C30";"420";"1";"0";"64";"N";5
1001;"2023-11-01 06:15:00";"C30";"480";"1";"0";"56";"N";5
1001;"2023-11-01 06:30:00";"C30";"636";"1";"0";"56";"N";5
1001;"2023-11-01 06:45:00";"C30";"696";"1";"0";"60";"N";5
1001;"2023-11-01 07:00:00";"C30";"636";"1";"0";"58";"N";5
1001;"2023-11-01 07:15:00";"C30";"684";"2";"0";"58";"N";5
1001;"2023-11-01 07:30:00";"C30";"660";"3";"0";"50";"N";5
1001;"2023-11-01 07:45:00";"C30";"936";"2";"0";"57";"N";5
1001;"2023-11-01 08:00:00";"C30";"1080";"2";"0";"62";"N";5
1001;"2023-11-01 08:15:00";"C30";"660";"1";"0";"65";"N";5
1001;"2023-11-01 08:30:00";"C30";"900";"2";"0";"58";"N";5
1001;"2023-11-01 08:45:00";"C30";"756";"1";"0";"65";"N";5
1001;"2023-11-01 09:00:00";"C30";"1020";"2";"0";"62";"N";5
1001;"2023-11-01 09:15:00";"C30";"624";"2";"0";"63";"N";5
1001;"2023-11-01 09:30:00";"C30";"720";"2";"0";"61";"N";5
1001;"2023-11-01 09:45:00";"C30";"1152";"3";"0";"62";"N";5
1001;"2023-11-01 10:00:00";"C30";"1200";"5";"0";"59";"N";5
1001;"2023-11-01 10:15:00";"C30";"984";"2";"0";"62";"N";5
1001;"2023-11-01 10:30:00";"C30";"1620";"5";"0";"64";"N";5
1001;"2023-11-01 10:45:00";"C30";"1560";"4";"0";"63";"N";5
1001;"2023-11-01 11:00:00";"C30";"1380";"3";"0";"64";"N";5
1001;"2023-11-01 11:15:00";"C30";"1440";"4";"0";"64";"N";5
1001;"2023-11-01 11:30:00";"C30";"1500";"5";"0";"60";"N";5
1001;"2023-11-01 11:45:00";"C30";"1860";"6";"0";"62";"N";5
1001;"2023-11-01 12:00:00";"C30";"1800";"6";"0";"65";"N";5
