"EEG number"	BIN	QC_3	QC_4
507	64	56	56
508	62	55	55
509	64	57	57
510	67	59	59
511	63	55	55
512	68	59	59
513	63	56	56
514	64	55	55
515	63	56	56
516	63	56	56
517	68	59	59
518	68	59	59
519	69	60	60
520	65	56	56
521	65	57	57
522	56	48	48
523	65	56	56
524	65	56	56
525	63	55	55
526	64	56	56
527	62	55	55
528	63	55	55
529	66	57	57
530	60	52	52
531	65	57	57
532	64	55	55
533	62	55	55
534	63	55	55
535	64	56	56
536	58	51	51
537	64	55	55
538	64	56	56
539	43	38	38
540	58	51	51
541	64	56	56
542	64	56	56
543	63	55	55
545	63	55	55
546	62	54	54
547	63	56	56
548	64	57	57
549	62	54	54
550	58	51	51
551	62	55	55
552	66	58	58
553	67	59	59
554	69	60	60
555	64	56	56
556	62	54	54
557	62	54	53
558	57	50	50
559	63	55	55
560	62	54	54
561	64	56	56
562	62	54	54
563	62	54	54
564	65	56	56
565	64	56	56
566	65	56	56
567	63	54	54
568	63	54	54
569	65	56	56
570	63	56	56
573	61	53	53
574	64	56	56
575	64	56	56
576	65	56	56
577	68	60	60
578	65	56	56
579	64	55	55
580	71	61	61
581	68	60	60
582	67	58	58
583	65	57	57
584	64	55	55
585	63	55	55
586	60	52	52
587	64	55	55
588	75	65	65
589	63	55	55
590	64	56	56
591	64	56	56
592	65	56	56
593	64	55	55
594	64	55	55
595	64	55	55
596	63	55	55
597	73	63	63
598	58	51	51
599	65	57	57
600	66	57	57
601	64	55	55
602	63	55	55
603	64	57	57
604	63	56	56
605	65	56	56
606	63	55	55
607	63	55	54
608	64	55	55
609	64	56	56
610	62	55	55
611	63	55	55
612	71	62	62
613	30	26	26
614	65	56	56
615	61	54	53
616	70	61	61
617	59	51	51
618	64	55	55
619	66	57	57
620	63	55	55
621	64	56	56
622	63	56	56
623	68	60	60
624	61	53	53
625	64	56	56
626	64	56	56
627	65	58	58
628	75	65	65
