#		accessquery		windowquery		getseriequery
#data	QC [ms]	TK2R [ms]	QC [ms]	TK2R [ms]	QC [ms]	TK2R [ms]	QC [kb]	TK2R [kb]	QC [mb]	TK2R [mb]
APCP	510607.0	4871.6	1.2787E+07	4.67E+06	908.7	15898.4	246500	114340	241	112
CAPE	517133.0	4919.2	1.2872E+07	5.30E+06	924.6	18877.4	375508	188248	367	184
CONVfrac	473537.0	3286.0	1.2160E+07	2.44E+06	843.3	10618.8	188276	37312	184	37
DLWRF	549548.0	6095.4	1.2924E+07	1.04E+07	948.4	25124.5	353708	448176	346	438
DSWRF	505743.0	4204.1	1.2833E+07	5.52E+06	906.6	16943.2	400724	385512	392	377
PEVAP	503044.0	5298.0	1.2664E+07	8.10E+06	887.7	22835.4	135040	237612	132	233
PRES	491265.0	6435.4	1.2916E+07	1.05E+07	898.1	26855	458716	751840	448	735
SPFH	156428.0	1698.9	5.0586E+06	1.15E+06	396.7	6901.8	16052	14460	16	15
TMP	528485.0	6062.4	1.2818E+07	1.01E+07	936.5	25225	257564	481856	252	471
UGRD	516107.0	5888.0	1.2787E+07	1.02E+07	913.2	26198.8	247564	447456	242	437
VGRD	524105.0	5913.0	1.2795E+07	1.02E+07	916.6	26340.5	247236	448564	242	439
