#EEG	Direct_bitcompress	Directvlc	Prom_vlc	Ref_vlc	qc4
507	51	65	68	68	64
508	50	63	66	66	62
509	51	66	69	69	64
510	54	68	71	72	67
511	50	65	67	67	62
512	54	69	72	72	67
513	51	65	68	68	63
514	51	65	68	68	63
515	51	65	68	68	63
516	51	65	68	68	63
517	54	69	72	72	67
518	54	69	72	72	67
519	55	71	74	74	68
520	52	66	69	69	64
521	52	66	69	69	65
522	44	57	59	59	55
523	52	66	69	69	64
524	52	66	69	69	64
525	50	64	67	67	63
526	51	65	68	68	64
527	50	64	66	66	62
528	50	64	67	67	63
529	53	68	71	71	65
530	31	46	47	47	59
531	34	50	51	51	65
532	51	65	68	68	63
533	50	64	67	67	62
534	50	64	67	67	63
535	127	84	80	108	63
536	47	60	62	62	58
537	51	65	68	68	63
538	51	65	68	68	64
539	34	44	46	46	43
540	115	87	71	100	58
541	51	65	68	68	64
542	51	65	68	68	64
543	33	49	49	49	63
545	50	64	67	67	63
546	49	63	66	66	62
547	50	64	67	67	63
548	51	66	69	69	64
549	49	63	66	66	62
550	46	59	62	62	58
551	50	63	66	66	62
552	53	67	70	70	66
553	53	68	71	71	67
554	36	53	54	54	67
555	51	66	68	68	64
556	32	48	48	48	62
557	33	48	49	49	60
558	46	58	61	61	57
559	51	65	68	68	63
560	50	64	66	66	61
561	52	66	69	69	64
562	50	63	66	66	61
563	49	63	66	66	61
564	52	66	69	69	64
565	51	66	69	69	63
566	52	66	69	69	64
567	50	64	67	67	62
568	33	48	49	49	62
569	52	66	69	69	64
570	51	65	68	68	63
573	48	62	65	65	61
574	51	65	68	68	64
575	51	65	68	68	63
576	34	50	51	51	64
577	54	70	73	73	68
578	52	66	69	69	64
579	34	49	50	50	63
580	37	55	55	55	70
581	54	69	72	72	68
582	36	52	52	52	66
583	34	51	51	51	64
584	51	65	68	68	63
585	33	49	49	49	62
586	48	61	64	64	59
587	51	65	68	68	63
588	60	76	80	80	73
589	50	64	67	67	63
590	34	50	50	50	63
591	51	65	68	68	64
592	34	50	51	51	64
593	33	49	50	50	62
594	51	65	68	68	63
595	51	65	68	68	63
596	50	64	67	67	63
597	39	57	57	57	72
598	30	45	45	45	58
599	52	67	70	70	64
600	53	67	70	70	65
601	33	49	50	50	62
602	51	65	66	68	62
603	32	48	48	48	64
604	50	64	67	67	63
605	34	50	51	51	63
606	50	64	67	67	63
607	33	49	49	49	62
608	34	50	50	50	62
609	34	50	50	50	64
610	32	48	49	49	62
611	33	49	49	49	63
612	38	55	56	56	70
613	23	30	31	31	30
614	52	66	69	69	64
615	31	46	46	46	61
616	37	54	54	55	69
617	30	44	44	44	58
618	33	49	50	50	63
619	52	67	70	70	65
620	33	49	50	50	63
621	34	49	50	50	64
622	33	49	50	50	63
623	55	70	73	73	68
624	32	47	48	48	60
625	33	49	50	50	64
626	33	49	50	50	63
627	34	51	51	51	65
628	40	58	59	59	74
