#EEG	bitcompress	vlc	vlcProm	vlcReferencia	BIN	QC4
507	51	65	68	68	64	54
508	50	63	66	66	62	53
509	51	66	71	69	64	54
510	54	68	74	72	67	56
511	50	65	67	67	63	53
512	54	69	74	72	68	56
513	51	65	68	68	63	53
514	51	65	68	68	64	53
515	51	65	68	68	63	54
516	51	65	68	68	63	54
517	54	69	72	72	68	56
518	54	69	74	72	68	56
519	55	71	76	74	69	57
520	52	66	71	69	65	54
521	52	66	69	69	65	55
522	44	57	59	59	56	46
523	52	66	71	69	65	54
524	52	66	71	69	65	54
525	50	64	69	67	63	53
526	51	65	70	68	64	54
527	50	64	66	66	62	53
528	50	64	69	67	63	53
529	53	68	73	71	66	55
530	31	46	48	47	60	29
531	34	50	49	51	65	30
532	51	65	70	68	64	53
533	50	64	69	67	62	53
534	50	64	69	67	63	53
535	127	84	109	109	64	63
536	47	60	62	62	58	49
537	51	65	70	68	64	53
538	51	65	68	68	64	54
539	34	44	47	46	43	36
540	115	87	122	101	58	58
541	51	65	68	68	64	54
542	51	65	68	68	64	54
543	33	49	51	49	63	31
545	50	64	67	67	63	53
546	49	63	68	66	62	52
547	50	64	67	67	63	53
548	51	66	69	69	64	54
549	49	63	68	66	62	52
550	46	59	62	62	58	49
551	50	63	68	66	62	52
552	53	67	70	70	66	56
553	53	68	71	71	67	56
554	36	53	54	54	69	33
555	51	66	68	69	64	54
556	32	48	49	48	62	30
557	33	48	50	49	62	30
558	46	58	61	61	57	48
559	51	65	68	68	63	53
560	50	64	68	67	62	52
561	52	66	69	69	64	54
562	50	63	66	66	62	52
563	49	63	68	66	62	51
564	52	66	69	69	65	54
565	51	66	69	69	64	53
566	52	66	71	69	65	54
567	50	64	67	67	63	52
568	33	48	49	49	63	30
569	52	66	71	69	65	54
570	51	65	70	68	63	54
573	48	62	65	65	61	51
574	51	65	68	68	64	54
575	51	65	70	68	64	53
576	34	50	52	51	65	33
577	54	70	73	73	68	58
578	52	66	71	69	65	54
579	34	49	50	50	64	32
580	37	55	58	56	71	35
581	54	69	72	72	68	57
582	36	52	54	53	67	34
583	34	51	53	51	65	32
584	51	65	70	68	64	53
585	33	49	51	50	63	32
586	48	61	66	64	60	50
587	51	65	68	68	64	53
588	60	76	80	80	75	62
589	50	64	67	67	63	53
590	34	50	52	50	64	30
591	51	65	68	68	64	54
592	34	50	52	51	65	32
593	33	49	49	50	64	30
594	51	65	68	68	64	53
595	51	65	70	68	64	53
596	50	64	67	67	63	53
597	39	57	60	57	73	37
598	30	45	45	45	58	28
599	52	67	70	70	65	54
600	53	67	72	70	66	55
601	33	49	50	50	64	31
602	51	65	68	68	63	51
603	32	48	49	48	64	31
604	50	64	67	67	63	53
605	34	50	51	51	65	33
606	50	64	67	67	63	53
607	33	49	51	49	63	32
608	34	50	51	50	64	31
609	34	50	52	50	64	32
610	32	48	49	49	62	30
611	33	49	50	49	63	32
612	38	55	58	56	71	36
613	23	30	31	31	30	25
614	52	66	69	69	65	52
615	31	46	50	46	61	29
616	37	54	56	55	70	36
617	30	44	47	44	59	29
618	33	49	50	50	64	30
619	52	67	72	70	66	55
620	33	49	51	50	63	31
621	34	49	51	50	64	32
622	33	49	51	50	63	32
623	55	70	73	73	68	58
624	32	47	50	48	61	31
625	33	49	50	50	64	32
626	33	49	50	50	64	32
627	34	51	53	51	65	34
628	40	58	61	59	75	38
