#EEG	QC4	vFilas	vColumnas
507	54	52	52
508	53	51	51
509	54	52	53
510	56	55	55
511	53	51	51
512	56	55	55
513	53	52	52
514	53	51	51
515	54	52	52
516	54	52	52
517	56	55	55
518	56	54	55
519	57	56	56
520	54	52	52
521	55	53	53
522	46	45	45
523	54	52	52
524	54	52	52
525	53	51	51
526	54	52	52
527	53	51	51
528	53	51	51
529	55	53	53
530	29	28	30
531	30	28	31
532	53	51	51
533	53	51	51
534	53	51	51
535	63	61	62
536	49	47	47
537	53	51	51
538	54	52	52
539	36	35	35
540	58	56	57
541	54	52	52
542	54	52	52
543	31	31	31
545	53	51	52
546	52	50	50
547	53	52	52
548	54	53	53
549	52	51	51
550	49	47	47
551	52	51	51
552	56	54	54
553	56	54	54
554	33	32	34
555	54	52	52
556	30	28	30
557	30	27	30
558	48	47	47
559	53	51	51
560	52	50	50
561	54	52	52
562	52	50	50
563	51	50	50
564	54	52	52
565	53	52	52
566	54	52	52
567	52	50	50
568	30	27	30
569	54	52	52
570	54	52	52
573	51	50	50
574	54	52	52
575	53	52	52
576	33	31	33
577	58	56	56
578	54	52	52
579	32	30	32
580	35	32	35
581	57	55	55
582	34	32	34
583	32	30	32
584	53	51	51
585	32	28	32
586	50	48	48
587	53	51	51
588	62	60	60
589	53	51	51
590	30	29	31
591	54	52	52
592	32	30	32
593	30	28	30
594	53	51	51
595	53	51	51
596	53	51	51
597	37	35	37
598	28	27	28
599	54	52	53
600	55	53	53
601	31	29	31
602	51	49	50
603	31	29	31
604	53	52	52
605	33	30	33
606	53	51	51
607	32	30	32
608	31	28	32
609	32	31	32
610	30	28	30
611	32	30	31
612	36	32	36
613	25	24	24
614	52	50	51
615	29	28	30
616	36	35	36
617	29	26	28
618	30	28	31
619	55	53	53
620	31	29	31
621	32	30	32
622	32	30	31
623	58	56	56
624	31	29	31
625	32	30	32
626	32	30	31
627	34	31	33
628	38	37	38
