File	kb_bc	kb_bc2	kb_bc_diff	kb_vlc_diff	kb_vlc_zz	[KB]
507	52522	52522	54542	69062	34693	[KB]
508	51307	51307	53281	67450	34143	[KB]
509	53092	53092	55103	69781	35010	[KB]
510	55266	55266	57360	72639	37143	[KB]
511	51379	51379	53354	67544	33880	[KB]
512	55090	55090	57209	72439	36987	[KB]
513	52208	52208	54216	68649	34983	[KB]
514	51860	51860	53855	68192	34726	[KB]
515	52355	52355	54338	68811	35218	[KB]
516	52342	52342	54325	68795	35086	[KB]
517	55078	55078	57196	72423	39844	[KB]
518	55052	55052	57169	72389	37453	[KB]
519	56197	56197	58358	73894	38917	[KB]
520	52774	52774	54803	69393	35410	[KB]
521	53498	53498	55524	70314	38154	[KB]
522	45193	45193	46931	59385	29273	[KB]
523	52619	52619	54642	69189	34216	[KB]
524	52790	52790	54821	69415	34227	[KB]
525	51726	51726	53716	68016	33997	[KB]
526	52636	52636	54660	69211	33646	[KB]
527	51351	51351	53326	67507	34147	[KB]
528	51714	51714	53702	67999	34147	[KB]
529	53796	53796	55865	70706	36728	[KB]
530	32032	28429	29308	39752	32023	[KB]
531	35138	29662	29443	39703	34787	[KB]
532	51982	51982	53981	68352	34083	[KB]
533	51500	51500	53481	67703	32759	[KB]
534	51664	51664	53650	67888	34214	[KB]
#535	128239	128239	128239	112150	39483	[KB]
536	47498	47498	49325	62443	31609	[KB]
537	51952	51952	53950	68314	33754	[KB]
538	52912	52912	54948	69576	34627	[KB]
539	35401	35401	36763	46541	22352	[KB]
#540	118048	118048	118048	103836	31637	[KB]
541	52502	52502	54521	69005	34541	[KB]
542	52732	52732	54760	69338	35425	[KB]
543	33987	30183	31662	42191	35981	[KB]
545	52036	52036	54038	68424	33522	[KB]
546	50947	50947	52906	66976	33861	[KB]
547	52082	52082	54085	68483	33899	[KB]
548	53084	53084	55125	69801	34364	[KB]
549	51115	51115	53081	67196	33531	[KB]
550	47989	47989	49835	63060	31389	[KB]
551	51203	51203	53172	67312	33661	[KB]
552	54458	54458	56552	71608	35315	[KB]
553	54956	54956	57038	72231	35896	[KB]
554	36847	32735	32768	44343	37810	[KB]
555	52954	52954	54990	69630	34803	[KB]
556	33614	28515	29078	38981	33268	[KB]
557	33254	27589	28002	37956	32690	[KB]
558	47230	47230	49047	62090	31966	[KB]
559	51597	51597	53581	67830	33460	[KB]
560	50672	50672	52620	66614	34635	[KB]
561	52450	52450	54468	68969	34329	[KB]
562	50477	50477	52419	66359	33891	[KB]
563	50179	50179	52109	65967	32647	[KB]
564	52456	52456	54473	68975	34759	[KB]
565	52238	52238	54247	68689	34372	[KB]
566	52522	52522	54541	69061	34837	[KB]
567	50939	50939	52898	66966	33087	[KB]
568	33371	28807	28244	38256	33254	[KB]
569	52496	52496	54516	69029	34896	[KB]
570	52328	52328	54340	68808	34939	[KB]
573	50112	50112	52039	65849	32881	[KB]
574	52537	52537	54497	69052	35137	[KB]
575	52095	52095	54099	68501	34427	[KB]
576	35125	31290	32302	43853	34851	[KB]
577	56286	56286	58451	74013	36371	[KB]
578	52559	52559	54581	69112	34863	[KB]
579	34458	31473	31654	42584	34797	[KB]
580	37958	32416	32987	44793	38176	[KB]
581	55877	55877	58026	73474	38311	[KB]
582	37214	32257	32988	43783	35885	[KB]
583	35048	30675	31202	42615	35496	[KB]
584	51685	51685	53672	67961	33933	[KB]
585	33894	29496	29466	39679	33987	[KB]
586	48629	48629	50499	63901	32266	[KB]
587	51752	51752	53742	68050	34801	[KB]
588	60724	60724	63059	79847	39768	[KB]
589	51735	51735	53725	68028	33326	[KB]
590	34306	29596	29869	41055	34829	[KB]
591	52523	52523	54542	69063	40825	[KB]
592	34567	31442	31748	42069	36982	[KB]
593	33871	28825	29641	39721	34884	[KB]
594	51919	51919	53916	68270	33844	[KB]
595	51856	51856	53851	68157	33885	[KB]
596	51664	51664	53651	67918	33222	[KB]
597	39462	35755	36864	48915	40646	[KB]
598	31199	27261	27704	37538	31131	[KB]
599	53046	53046	55086	69752	35515	[KB]
600	53509	53509	55567	70361	35873	[KB]
601	33943	29632	30385	40554	34219	[KB]
602	51530	51530	51890	65940	33499	[KB]
603	33021	30205	30514	41087	35032	[KB]
604	52108	52108	54081	68487	34945	[KB]
605	34550	31052	31052	41699	35663	[KB]
606	51889	51889	53854	68199	36388	[KB]
607	33974	30120	31285	41689	33975	[KB]
608	34852	29665	29180	39594	34541	[KB]
609	35126	30867	32287	44142	35621	[KB]
610	33682	29209	29840	40115	34656	[KB]
611	34267	30059	30756	40516	34599	[KB]
612	39044	33935	33529	45741	39699	[KB]
613	24444	24444	25384	32128	16149	[KB]
614	52556	52556	52924	67225	35127	[KB]
615	32273	28408	28526	39359	33378	[KB]
616	38554	34371	36144	48393	38610	[KB]
617	30735	27116	27533	37119	31355	[KB]
618	33934	30127	29825	40043	33764	[KB]
619	53394	53394	55447	70178	36758	[KB]
620	34117	29725	30236	40734	34755	[KB]
621	34790	30618	31109	41531	35905	[KB]
622	34696	29726	30976	41541	34628	[KB]
623	56356	56356	58523	74103	38323	[KB]
624	32972	29893	30445	40628	33208	[KB]
625	34563	30258	31211	41951	35596	[KB]
626	34263	30171	31728	43037	35325	[KB]
627	35587	31937	32692	44434	37271	[KB]
628	41174	36713	37775	51347	41905	[KB]
