% valor	NoC_0	NoC_1	NoC_2
-99	0	1	0
-98	0	0	0
-97	0	1	0
-96	0	0	0
-95	0	1	0
-94	0	0	0
-93	0	0	0
-92	0	1	0
-91	0	1	0
-90	0	1	0
-89	0	0	0
-88	0	1	0
-87	0	0	0
-86	0	2	0
-85	0	1	0
-84	0	4	0
-83	0	1	0
-82	0	3	0
-81	0	0	0
-80	0	1	0
-79	0	2	0
-78	0	4	0
-77	0	3	0
-76	0	2	0
-75	0	7	0
-74	0	6	0
-73	0	3	0
-72	0	5	0
-71	0	11	1
-70	0	10	1
-69	0	7	0
-68	0	12	0
-67	0	11	0
-66	0	8	0
-65	0	7	0
-64	0	15	3
-63	0	13	7
-62	0	17	4
-61	0	18	2
-60	0	17	3
-59	0	33	5
-58	0	17	4
-57	0	25	7
-56	0	37	8
-55	0	44	8
-54	0	29	8
-53	0	44	9
-52	0	47	7
-51	0	57	7
-50	0	53	16
-49	0	63	17
-48	0	95	18
-47	0	96	22
-46	0	132	29
-45	0	130	19
-44	0	134	19
-43	0	155	17
-42	0	173	7
-41	0	204	13
-40	0	220	15
-39	0	251	87
-38	0	313	73
-37	0	329	45
-36	0	347	43
-35	0	401	72
-34	0	454	104
-33	0	543	121
-32	0	607	109
-31	0	649	106
-30	0	725	126
-29	0	797	137
-28	0	855	182
-27	0	1034	243
-26	0	1131	253
-25	0	1354	314
-24	0	1462	361
-23	0	1692	444
-22	0	2026	526
-21	0	2635	586
-20	0	2877	590
-19	0	3066	665
-18	0	3187	876
-17	0	3542	1054
-16	0	4043	1303
-15	0	4443	1554
-14	0	5126	1572
-13	0	5821	2142
-12	0	6545	2439
-11	0	7479	3172
-10	0	8612	3398
-9	0	10039	3964
-8	0	11663	5103
-7	0	16139	5923
-6	0	22377	7341
-5	0	33506	9232
-4	0	62800	13186
-3	0	156037	21317
-2	0	494302	60623
-1	0	1632163	322196
0	1394360	3457096	1177912
1	1060532	1598050	1021922
2	824908	490183	794316
3	741737	163235	686461
4	662696	69767	620799
5	589334	38445	563155
6	537921	24627	511660
7	492438	17704	459431
8	434208	13258	396736
9	357244	10758	326981
10	276050	9011	259968
11	207626	7755	201796
12	155265	6421	156915
13	118855	5719	121827
14	90804	4923	94658
15	66576	4258	72715
16	48481	3720	56439
17	37230	3439	45157
18	30402	2917	37533
19	25114	2709	31421
20	21023	2641	27715
21	19451	2274	24616
22	18370	1876	21919
23	16635	1556	19700
24	14564	1336	17832
25	13117	1195	16379
26	12449	1078	15023
27	12244	945	14091
28	11759	791	13361
29	11277	739	12701
30	10640	640	11969
31	10290	616	11409
32	9984	524	10713
33	10058	439	10497
34	9573	403	9824
35	9274	388	9474
36	9151	351	9008
37	8650	314	8646
38	8431	262	8159
39	8093	242	7816
40	7192	208	7081
41	6131	181	6295
42	5612	142	5890
43	4844	143	5380
44	4354	116	4829
45	3724	130	4189
46	3121	78	3614
47	2799	84	3205
48	2525	85	2811
49	2277	57	2606
50	2154	53	2415
51	1990	69	2275
52	1823	54	1981
53	1787	46	1938
54	1525	30	1749
55	1365	32	1607
56	1214	23	1401
57	1188	31	1358
58	1153	30	1246
59	1125	42	1162
60	1033	22	1144
61	1030	19	1089
62	943	20	1071
63	1004	17	991
64	1034	10	927
65	1023	14	891
66	927	12	845
67	770	6	752
68	601	6	624
69	474	5	545
70	309	4	464
71	271	3	398
72	226	6	366
73	169	2	305
74	181	1	246
75	129	3	206
76	114	1	201
77	126	4	178
78	117	1	162
79	93	1	132
80	86	2	100
81	90	1	113
82	74	5	93
83	82	2	105
84	67	2	78
85	56	0	75
86	68	1	89
87	78	2	74
88	72	0	77
89	64	0	71
90	43	3	78
91	52	0	75
92	56	1	49
93	68	3	67
