% valor	NoC_0	NoC_1	NoC_2
-235	0	1	0
-234	0	0	0
-233	0	0	0
-232	0	0	0
-231	0	0	0
-230	0	0	0
-229	0	0	0
-228	0	0	0
-227	0	0	0
-226	0	0	0
-225	0	0	0
-224	0	0	0
-223	0	0	0
-222	0	0	0
-221	0	0	0
-220	0	0	0
-219	0	0	0
-218	0	0	0
-217	0	0	0
-216	0	0	0
-215	0	0	0
-214	0	0	0
-213	0	0	0
-212	0	0	0
-211	0	0	0
-210	0	0	0
-209	0	0	0
-208	0	0	0
-207	0	0	0
-206	0	0	0
-205	0	0	0
-204	0	0	0
-203	0	0	0
-202	0	0	0
-201	0	0	0
-200	0	0	0
-199	0	0	0
-198	0	0	0
-197	0	0	0
-196	0	0	0
-195	0	0	0
-194	0	0	0
-193	0	0	0
-192	0	0	0
-191	0	0	0
-190	0	0	0
-189	0	0	0
-188	0	0	0
-187	0	0	0
-186	0	0	0
-185	0	0	0
-184	0	0	0
-183	0	0	0
-182	0	0	0
-181	0	0	0
-180	0	0	0
-179	0	0	0
-178	0	0	0
-177	0	0	0
-176	0	0	0
-175	0	0	0
-174	0	0	0
-173	0	0	0
-172	0	0	0
-171	0	0	0
-170	0	0	0
-169	0	0	0
-168	0	0	0
-167	0	0	0
-166	0	0	0
-165	0	0	0
-164	0	0	0
-163	0	0	0
-162	0	0	0
-161	0	0	0
-160	0	0	0
-159	0	0	0
-158	0	0	0
-157	0	0	0
-156	0	0	0
-155	0	0	0
-154	0	0	0
-153	0	0	0
-152	0	0	0
-151	0	0	0
-150	0	0	0
-149	0	0	0
-148	0	0	0
-147	0	0	0
-146	0	0	0
-145	0	0	0
-144	0	0	0
-143	0	0	0
-142	0	0	0
-141	0	0	0
-140	0	0	0
-139	0	0	0
-138	0	0	0
-137	0	0	0
-136	0	0	0
-135	0	0	0
-134	0	0	0
-133	0	0	0
-132	0	1	0
-131	0	0	0
-130	0	0	0
-129	0	0	0
-128	0	0	0
-127	0	0	0
-126	0	0	0
-125	0	0	0
-124	0	0	0
-123	0	0	0
-122	0	1	0
-121	0	0	0
-120	0	0	0
-119	0	0	0
-118	0	0	0
-117	0	0	0
-116	0	0	0
-115	0	0	0
-114	0	0	0
-113	0	0	0
-112	0	0	0
-111	0	0	0
-110	0	0	0
-109	0	1	0
-108	0	1	0
-107	0	0	0
-106	0	0	0
-105	0	0	0
-104	0	0	0
-103	0	0	0
-102	0	2	0
-101	0	1	0
-100	0	0	0
-99	0	0	0
-98	0	1	0
-97	0	6	0
-96	0	1	0
-95	0	1	0
-94	0	3	0
-93	0	6	0
-92	0	6	0
-91	0	6	0
-90	0	3	0
-89	0	21	1
-88	0	10	0
-87	0	16	0
-86	0	8	0
-85	0	19	1
-84	0	15	1
-83	0	17	0
-82	0	27	0
-81	0	28	0
-80	0	22	0
-79	0	29	0
-78	0	40	0
-77	0	60	0
-76	0	42	0
-75	0	52	0
-74	0	42	0
-73	0	56	0
-72	0	79	0
-71	0	47	0
-70	0	63	1
-69	0	65	0
-68	0	67	1
-67	0	148	1
-66	0	88	0
-65	0	90	0
-64	0	117	1
-63	0	140	1
-62	0	140	0
-61	0	135	2
-60	0	156	3
-59	0	185	3
-58	0	185	2
-57	0	249	2
-56	0	235	3
-55	0	308	2
-54	0	292	9
-53	0	297	0
-52	0	347	4
-51	0	417	1
-50	0	430	5
-49	0	544	13
-48	0	550	9
-47	0	644	7
-46	0	739	10
-45	0	751	23
-44	0	860	20
-43	0	1002	19
-42	0	1093	16
-41	0	1059	27
-40	0	1337	41
-39	0	1478	40
-38	0	1674	33
-37	0	1798	46
-36	0	2160	55
-35	0	2381	76
-34	0	2597	78
-33	0	2980	93
-32	0	3308	113
-31	0	3790	132
-30	0	4381	161
-29	0	4624	193
-28	0	5474	197
-27	0	6279	252
-26	0	7011	329
-25	0	7910	383
-24	0	8657	390
-23	0	10001	459
-22	0	11058	504
-21	0	12600	625
-20	0	14360	774
-19	0	16129	835
-18	0	18081	867
-17	0	20398	1000
-16	0	23160	1118
-15	0	26252	1373
-14	0	29732	1511
-13	0	34136	1728
-12	0	39198	1902
-11	0	45193	2242
-10	0	52373	2505
-9	0	61685	2992
-8	0	74033	3299
-7	0	91327	3911
-6	0	118352	4879
-5	0	165941	6220
-4	0	258140	8864
-3	0	440931	13590
-2	0	739916	21859
-1	0	1076783	30090
0	30839	1269438	34486
1	1378	1071076	31069
2	2022	733457	23505
3	3531	435386	16580
4	7952	253660	12100
5	13425	161195	10272
6	10183	114609	9565
7	5912	88477	9335
8	9018	71083	9511
9	8208	59699	9692
10	9226	50685	9944
11	7833	43700	10392
12	8004	37935	11002
13	11279	33409	11446
14	11154	29624	12190
15	14887	26240	12872
16	13598	22885	13882
17	14048	20327	14952
18	19420	18093	15582
19	16945	16124	16443
20	24137	14380	16857
21	19095	13046	17755
22	17229	11355	17986
23	17181	10049	18464
24	17480	8991	18947
25	20282	7992	19384
26	19461	7299	19768
27	19487	6371	20598
28	19837	5586	21219
29	20748	5032	21915
30	26222	4600	22800
31	23004	4038	23476
32	23129	3694	24248
33	23599	3292	25223
34	30555	2921	25959
35	27194	2582	26820
36	25690	2362	27791
37	25810	2105	28775
38	25953	2008	30131
39	27124	1710	31526
40	29388	1478	34142
41	32687	1389	37064
42	40627	1265	41120
43	46640	1147	46068
44	52766	1031	50892
45	57589	876	55321
46	63294	831	59634
47	68040	760	63795
48	77260	639	66151
49	71172	580	68939
50	70100	518	69751
51	67385	446	69896
52	64627	413	70503
53	62764	388	70624
54	66244	309	73254
55	70966	280	75775
56	76331	262	80355
57	81956	233	85553
58	90476	223	92357
59	100994	196	97983
60	108476	189	104857
61	113465	158	111979
62	124369	142	119448
63	128695	124	126263
64	139134	141	133091
65	147408	114	138075
66	151129	99	143064
67	151350	93	146210
68	152146	74	148849
69	155632	86	152223
70	161508	84	156699
71	170852	65	162786
72	181169	63	169412
73	191430	74	176858
74	197578	49	183320
75	199837	52	188440
76	201011	44	192627
77	201414	38	194487
78	205477	38	196484
79	207821	43	197633
80	207555	22	197895
81	206814	37	195725
82	205976	35	193604
83	207562	22	191854
84	209701	31	188649
85	207689	16	185490
86	201651	19	179702
87	192853	17	172557
88	184610	17	163977
89	172888	17	153446
90	157105	13	140513
91	135899	13	124797
92	113865	4	109588
93	93439	5	94387
94	76575	9	80761
95	62347	9	69295
96	51985	6	59212
97	43837	7	50809
98	35390	3	43776
99	28677	1	37636
