% valor	NoC_0	NoC_1	NoC_2
-99	0	2	0
-98	0	1	0
-97	0	2	0
-96	0	0	0
-95	0	0	0
-94	0	2	0
-93	0	3	0
-92	0	4	0
-91	0	6	0
-90	0	2	0
-89	0	2	0
-88	0	1	0
-87	0	4	0
-86	0	3	0
-85	0	5	0
-84	0	5	0
-83	0	9	0
-82	0	5	0
-81	0	7	0
-80	0	4	0
-79	0	13	0
-78	0	12	0
-77	0	12	0
-76	0	9	0
-75	0	15	0
-74	0	14	1
-73	0	23	0
-72	0	21	0
-71	0	22	0
-70	0	24	0
-69	0	19	0
-68	0	35	1
-67	0	32	0
-66	0	24	0
-65	0	35	1
-64	0	35	0
-63	0	49	3
-62	0	33	0
-61	0	35	1
-60	0	40	0
-59	0	38	5
-58	0	46	0
-57	0	62	2
-56	0	65	0
-55	0	74	2
-54	0	54	2
-53	0	67	0
-52	0	66	4
-51	0	84	2
-50	0	83	1
-49	0	117	3
-48	0	106	7
-47	0	118	3
-46	0	128	5
-45	0	123	8
-44	0	128	8
-43	0	161	9
-42	0	133	7
-41	0	163	6
-40	0	205	11
-39	0	192	30
-38	0	185	15
-37	0	222	21
-36	0	274	15
-35	0	300	18
-34	0	309	23
-33	0	391	21
-32	0	430	22
-31	0	499	23
-30	0	540	45
-29	0	574	28
-28	0	753	53
-27	0	866	49
-26	0	1097	63
-25	0	1373	76
-24	0	1564	64
-23	0	1945	100
-22	0	2488	92
-21	0	3344	138
-20	0	4034	179
-19	0	5278	223
-18	0	6827	337
-17	0	9007	448
-16	0	11898	570
-15	0	15817	964
-14	0	21278	1203
-13	0	28483	1658
-12	0	38703	2224
-11	0	51981	2828
-10	0	69961	4191
-9	0	95042	5417
-8	0	127503	7300
-7	0	171431	10006
-6	0	227392	13588
-5	0	302251	18026
-4	0	401140	25461
-3	0	532379	35666
-2	0	710482	53641
-1	0	914502	80945
0	157368	1127915	117453
1	130380	875349	152109
2	195080	661687	180679
3	213337	488182	196251
4	224919	365944	200363
5	217374	278631	193908
6	203566	211268	184058
7	186975	160462	169417
8	154840	120729	155347
9	147367	90949	144573
10	139359	69193	134582
11	123761	52235	126762
12	118693	40288	120285
13	115687	30770	116275
14	115169	23886	112034
15	113058	18400	108563
16	108888	14608	106897
17	106621	11645	105073
18	107286	9356	103958
19	105698	7636	102445
20	105055	6323	101558
21	104067	5148	100953
22	101782	4249	100350
23	102103	3727	99189
24	100644	3165	99139
25	102813	2727	97815
26	99336	2330	97530
27	99504	2099	96594
28	99955	1872	95585
29	101813	1621	95155
30	98628	1437	94219
31	96011	1246	93754
32	95456	1057	93309
33	96193	852	92056
34	92703	731	91410
35	90951	598	90589
36	90151	506	89634
37	90270	390	88234
38	87661	351	87769
39	86635	276	86423
40	86971	218	86026
41	86207	189	84937
42	85327	181	84594
43	85114	168	83634
44	84439	139	82873
45	81616	126	81677
46	81628	100	80694
47	82084	119	79698
48	81235	114	78900
49	79901	81	78989
50	78762	75	77313
51	78460	86	76532
52	76734	79	75671
53	75137	47	74496
54	74007	82	73635
55	72256	71	72432
56	72322	54	72096
57	71109	50	71434
58	69710	38	70946
59	68945	44	70161
60	69513	45	69927
61	69229	44	69588
62	69443	32	69182
63	69292	40	69417
64	70290	31	68961
65	69666	29	68363
66	69218	32	68530
67	69530	30	67628
68	69668	26	66744
69	68454	22	66822
70	67703	38	65851
71	66457	17	64067
72	65649	19	63046
73	64172	17	62261
74	62789	9	60607
75	61683	16	59502
76	59808	10	57421
77	57711	12	55736
78	55829	11	53974
79	54293	9	52453
80	51912	8	50927
81	50424	9	48829
82	48205	9	46824
83	45964	7	44915
84	44120	5	42430
85	42192	4	40146
86	40963	6	38484
87	38713	4	36403
88	36755	2	34271
89	35294	1	31554
90	32870	3	29295
91	30360	3	27265
92	27901	1	25146
93	24968	0	22584
94	22342	0	20278
