% valor	NoC_0	NoC_1	NoC_2	NoC_3
-147	0	0	0	6
-146	0	0	0	1
-145	0	0	0	2
-144	0	0	0	3
-143	0	0	0	3
-142	0	0	0	0
-141	0	0	0	2
-140	0	0	0	2
-139	0	0	0	0
-138	0	0	0	1
-137	0	0	0	1
-136	0	0	0	0
-135	0	0	0	21
-134	0	0	0	14
-133	0	0	0	18
-132	0	0	0	16
-131	0	0	0	8
-130	0	0	0	12
-129	0	0	0	12
-128	0	0	0	2
-127	0	0	0	10
-126	0	0	0	9
-125	0	0	0	13
-124	0	0	0	5
-123	0	0	0	8
-122	0	0	0	7
-121	0	0	0	7
-120	0	0	0	7
-119	0	0	0	6
-118	0	0	0	14
-117	0	0	0	4
-116	0	0	0	4
-115	0	0	0	4
-114	0	0	0	4
-113	0	0	0	7
-112	0	0	0	0
-111	0	0	0	1
-110	0	0	0	4
-109	0	0	0	8
-108	0	0	0	16
-107	0	0	0	11
-106	0	0	2	26
-105	0	0	2	16
-104	0	0	0	25
-103	0	0	0	7
-102	0	0	1	17
-101	0	0	1	18
-100	0	0	2	16
-99	0	2	0	4
-98	0	1	2	19
-97	0	2	1	6
-96	0	0	2	35
-95	0	0	1	10
-94	0	2	3	25
-93	0	3	1	27
-92	0	4	3	42
-91	0	6	3	22
-90	0	2	2	40
-89	0	2	6	29
-88	0	1	6	42
-87	0	4	4	39
-86	0	3	4	67
-85	0	5	5	29
-84	0	5	3	63
-83	0	9	3	33
-82	0	5	7	56
-81	0	7	6	25
-80	0	4	7	61
-79	0	13	14	19
-78	0	12	17	94
-77	0	12	12	23
-76	0	9	9	88
-75	0	15	11	31
-74	0	14	19	79
-73	0	23	22	58
-72	0	21	25	122
-71	0	22	28	106
-70	0	24	28	160
-69	0	19	17	117
-68	0	35	23	149
-67	0	32	27	78
-66	0	24	34	195
-65	0	35	39	123
-64	0	35	33	222
-63	0	49	42	115
-62	0	33	50	233
-61	0	35	55	168
-60	0	40	45	292
-59	0	38	65	172
-58	0	46	72	282
-57	0	62	63	211
-56	0	65	89	338
-55	0	74	57	233
-54	0	54	96	400
-53	0	67	94	276
-52	0	66	79	511
-51	0	84	105	358
-50	0	83	116	605
-49	0	117	132	479
-48	0	106	132	805
-47	0	118	150	509
-46	0	128	152	1025
-45	0	123	172	529
-44	0	128	196	1186
-43	0	161	242	778
-42	0	133	239	1563
-41	0	163	306	1059
-40	0	205	344	2247
-39	0	192	402	1554
-38	0	185	427	3077
-37	0	222	497	1743
-36	0	274	611	3901
-35	0	300	647	2460
-34	0	309	711	5344
-33	0	391	886	3356
-32	0	430	1091	7016
-31	0	499	1203	4373
-30	0	540	1416	9537
-29	0	574	1616	6245
-28	0	753	1977	13225
-27	0	866	2212	8411
-26	0	1097	2818	17894
-25	0	1373	3324	12041
-24	0	1564	3987	24453
-23	0	1945	5195	16832
-22	0	2488	6208	32663
-21	0	3344	7865	22583
-20	0	4034	9914	44479
-19	0	5278	12750	30498
-18	0	6827	16280	59513
-17	0	9007	20628	41937
-16	0	11898	26229	79838
-15	0	15817	33833	57004
-14	0	21278	43052	107047
-13	0	28483	54869	78140
-12	0	38703	69842	142718
-11	0	51981	87891	106260
-10	0	69961	111153	188546
-9	0	95042	139476	141771
-8	0	127503	174168	247196
-7	0	171431	215377	192371
-6	0	227392	268292	327926
-5	0	302251	328433	259750
-4	0	401140	404269	435533
-3	0	532379	497868	364268
-2	0	710482	601028	581585
-1	0	914502	691896	503105
0	157368	1127915	734418	734418
1	130380	875349	695216	478593
2	195080	661687	603595	542295
3	213337	488182	500675	324565
4	224919	365944	410882	382808
5	217374	278631	333655	221047
6	203566	211268	270863	272089
7	186975	160462	219546	154026
8	154840	120729	176244	195789
9	147367	90949	140336	109635
10	139359	69193	111207	142797
11	123761	52235	88759	78656
12	118693	40288	70054	104145
13	115687	30770	55353	56294
14	115169	23886	43033	75587
15	113058	18400	33852	40451
16	108888	14608	26030	55390
17	106621	11645	20085	29478
18	107286	9356	15695	40647
19	105698	7636	12337	21291
20	105055	6323	9661	30207
21	104067	5148	7497	15581
22	101782	4249	6021	22692
23	102103	3727	4750	11419
24	100644	3165	3828	17102
25	102813	2727	3065	8656
26	99336	2330	2483	13062
27	99504	2099	2113	6384
28	99955	1872	1708	9919
29	101813	1621	1405	4822
30	98628	1437	1122	7916
31	96011	1246	963	3681
32	95456	1057	814	6140
33	96193	852	730	2876
34	92703	731	620	4971
35	90951	598	536	2286
36	90151	506	506	3903
37	90270	390	405	1841
38	87661	351	351	3208
39	86635	276	305	1428
40	86971	218	283	2504
41	86207	189	219	1199
42	85327	181	215	2092
43	85114	168	191	982
44	84439	139	178	1669
45	81616	126	149	764
46	81628	100	141	1476
47	82084	119	128	680
48	81235	114	113	1236
49	79901	81	108	617
50	78762	75	99	1028
51	78460	86	96	504
52	76734	79	88	889
53	75137	47	71	391
54	74007	82	86	763
55	72256	71	65	391
56	72322	54	57	606
57	71109	50	62	310
58	69710	38	46	537
59	68945	44	48	299
60	69513	45	58	467
61	69229	44	49	263
62	69443	32	36	375
63	69292	40	36	202
64	70290	31	43	342
65	69666	29	44	203
66	69218	32	44	295
67	69530	30	32	159
68	69668	26	45	241
69	68454	22	49	165
70	67703	38	31	208
71	66457	17	33	158
72	65649	19	24	186
73	64172	17	30	136
74	62789	9	28	173
75	61683	16	18	118
76	59808	10	21	152
77	57711	12	13	111
78	55829	11	15	138
79	54293	9	13	113
80	51912	8	12	125
81	50424	9	10	111
82	48205	9	7	111
83	45964	7	10	89
84	44120	5	8	107
85	42192	4	8	104
86	40963	6	9	90
87	38713	4	4	91
88	36755	2	3	75
89	35294	1	5	86
90	32870	3	2	79
91	30360	3	0	74
92	27901	1	1	74
93	24968	0	0	72
94	22342	0	1	67
95	19724	1	1	60
96	17446	0	1	52
97	15349	0	0	57
98	13247	0	1	65
