% valor	NoC_0	NoC_1	NoC_2	NoC_3
-236	0	0	1	0
-235	0	1	0	0
-234	0	0	0	0
-233	0	0	0	0
-232	0	0	0	0
-231	0	0	0	0
-230	0	0	0	0
-229	0	0	0	0
-228	0	0	0	0
-227	0	0	0	0
-226	0	0	0	0
-225	0	0	0	0
-224	0	0	0	0
-223	0	0	0	0
-222	0	0	0	0
-221	0	0	0	0
-220	0	0	0	0
-219	0	0	0	0
-218	0	0	0	0
-217	0	0	0	0
-216	0	0	0	0
-215	0	0	0	0
-214	0	0	0	0
-213	0	0	0	0
-212	0	0	0	0
-211	0	0	0	0
-210	0	0	0	0
-209	0	0	0	0
-208	0	0	0	0
-207	0	0	0	0
-206	0	0	0	0
-205	0	0	0	0
-204	0	0	0	0
-203	0	0	0	0
-202	0	0	0	0
-201	0	0	0	0
-200	0	0	0	0
-199	0	0	0	0
-198	0	0	0	0
-197	0	0	0	0
-196	0	0	0	0
-195	0	0	0	0
-194	0	0	0	0
-193	0	0	0	0
-192	0	0	0	0
-191	0	0	0	0
-190	0	0	0	0
-189	0	0	0	2
-188	0	0	0	1
-187	0	0	0	0
-186	0	0	0	2
-185	0	0	0	2
-184	0	0	0	0
-183	0	0	0	0
-182	0	0	0	0
-181	0	0	0	0
-180	0	0	0	2
-179	0	0	0	1
-178	0	0	0	2
-177	0	0	0	5
-176	0	0	0	1
-175	0	0	0	5
-174	0	0	0	3
-173	0	0	0	1
-172	0	0	0	2
-171	0	0	0	4
-170	0	0	0	1
-169	0	0	0	6
-168	0	0	0	7
-167	0	0	0	11
-166	0	0	0	6
-165	0	0	0	11
-164	0	0	0	3
-163	0	0	0	6
-162	0	0	0	0
-161	0	0	0	5
-160	0	0	0	2
-159	0	0	0	0
-158	0	0	0	0
-157	0	0	0	0
-156	0	0	0	1
-155	0	0	0	1
-154	0	0	0	1
-153	0	0	0	0
-152	0	0	0	1
-151	0	0	0	1
-150	0	0	0	2
-149	0	0	0	0
-148	0	0	0	0
-147	0	0	0	1
-146	0	0	0	0
-145	0	0	0	0
-144	0	0	0	0
-143	0	0	0	0
-142	0	0	0	1
-141	0	0	0	1
-140	0	0	0	1
-139	0	0	0	0
-138	0	0	0	0
-137	0	0	0	0
-136	0	0	0	0
-135	0	0	1	1
-134	0	0	0	5
-133	0	0	0	37
-132	0	1	0	22
-131	0	0	0	27
-130	0	0	0	23
-129	0	0	0	11
-128	0	0	0	15
-127	0	0	0	18
-126	0	0	0	15
-125	0	0	0	12
-124	0	0	0	19
-123	0	0	0	7
-122	0	1	1	7
-121	0	0	1	6
-120	0	0	1	1
-119	0	0	1	26
-118	0	0	0	22
-117	0	0	0	20
-116	0	0	0	19
-115	0	0	0	27
-114	0	0	0	22
-113	0	0	1	23
-112	0	0	1	21
-111	0	0	0	25
-110	0	0	0	18
-109	0	1	0	21
-108	0	1	0	37
-107	0	0	1	21
-106	0	0	1	28
-105	0	0	0	21
-104	0	0	2	31
-103	0	0	0	16
-102	0	2	3	27
-101	0	1	3	29
-100	0	0	2	40
-99	0	0	1	42
-98	0	1	3	58
-97	0	6	4	40
-96	0	1	6	100
-95	0	1	8	76
-94	0	3	9	108
-93	0	6	5	82
-92	0	6	9	103
-91	0	6	7	80
-90	0	3	17	129
-89	0	21	20	142
-88	0	10	7	164
-87	0	16	20	176
-86	0	8	17	159
-85	0	19	25	188
-84	0	15	20	198
-83	0	17	24	189
-82	0	27	21	221
-81	0	28	39	200
-80	0	22	42	255
-79	0	29	32	230
-78	0	40	56	307
-77	0	60	57	271
-76	0	42	53	383
-75	0	52	52	333
-74	0	42	84	447
-73	0	56	56	370
-72	0	79	76	512
-71	0	47	90	438
-70	0	63	104	588
-69	0	65	95	597
-68	0	67	136	787
-67	0	148	139	737
-66	0	88	125	846
-65	0	90	173	811
-64	0	117	181	1034
-63	0	140	195	969
-62	0	140	219	1308
-61	0	135	235	1144
-60	0	156	243	1517
-59	0	185	299	1480
-58	0	185	355	1928
-57	0	249	357	1893
-56	0	235	429	2303
-55	0	308	442	2006
-54	0	292	515	2664
-53	0	297	587	2372
-52	0	347	682	3216
-51	0	417	701	2991
-50	0	430	798	3850
-49	0	544	929	3449
-48	0	550	1088	4756
-47	0	644	1198	4161
-46	0	739	1415	5328
-45	0	751	1493	5060
-44	0	860	1685	6487
-43	0	1002	1815	5491
-42	0	1093	2049	7233
-41	0	1059	2358	6491
-40	0	1337	2672	8506
-39	0	1478	3028	7405
-38	0	1674	3320	9867
-37	0	1798	3711	8701
-36	0	2160	4174	11694
-35	0	2381	4627	10435
-34	0	2597	4943	13007
-33	0	2980	5546	11912
-32	0	3308	6499	15287
-31	0	3790	7369	13975
-30	0	4381	8234	17990
-29	0	4624	9171	16065
-28	0	5474	10220	20688
-27	0	6279	11401	18005
-26	0	7011	12803	23436
-25	0	7910	14179	20744
-24	0	8657	16169	26532
-23	0	10001	17800	23807
-22	0	11058	19950	29963
-21	0	12600	22103	27335
-20	0	14360	24729	34464
-19	0	16129	27879	30855
-18	0	18081	31080	39493
-17	0	20398	34133	36659
-16	0	23160	38019	46836
-15	0	26252	42795	43511
-14	0	29732	47826	56764
-13	0	34136	53051	53038
-12	0	39198	60061	70322
-11	0	45193	68815	67800
-10	0	52373	78715	92561
-9	0	61685	92036	89986
-8	0	74033	110447	132702
-7	0	91327	136418	134553
-6	0	118352	176549	213289
-5	0	165941	241183	223357
-4	0	258140	337868	357853
-3	0	440931	472495	387434
-2	0	739916	626340	585010
-1	0	1076783	761437	614009
0	30839	1269438	816046	816046
1	1378	1071076	761732	605932
2	2022	733457	630743	566621
3	3531	435386	473353	371907
4	7952	253660	336863	342343
5	13425	161195	239415	212275
6	10183	114609	176107	197874
7	5912	88477	135160	127298
8	9018	71083	109069	123488
9	8208	59699	89961	86424
10	9226	50685	76981	85198
11	7833	43700	67055	63967
12	8004	37935	58820	64468
13	11279	33409	52581	50658
14	11154	29624	46880	51668
15	14887	26240	41735	41404
16	13598	22885	37571	42785
17	14048	20327	33754	34459
18	19420	18093	30249	36155
19	16945	16124	27034	29255
20	24137	14380	24259	30662
21	19095	13046	21791	24790
22	17229	11355	19729	26745
23	17181	10049	17735	21625
24	17480	8991	16093	23027
25	20282	7992	14518	18543
26	19461	7299	12936	20212
27	19487	6371	11462	16350
28	19837	5586	10371	17642
29	20748	5032	9464	14132
30	26222	4600	8299	15442
31	23004	4038	7649	12527
32	23129	3694	6897	13800
33	23599	3292	6081	10990
34	30555	2921	5456	11993
35	27194	2582	4960	9612
36	25690	2362	4338	10873
37	25810	2105	3828	8488
38	25953	2008	3547	9611
39	27124	1710	3089	7614
40	29388	1478	2688	8533
41	32687	1389	2430	6584
42	40627	1265	2236	7490
43	46640	1147	1954	5719
44	52766	1031	1823	6605
45	57589	876	1696	5143
46	63294	831	1513	5834
47	68040	760	1260	4523
48	77260	639	1187	5266
49	71172	580	1032	3954
50	70100	518	816	4737
51	67385	446	818	3581
52	64627	413	656	4137
53	62764	388	610	3217
54	66244	309	560	3745
55	70966	280	463	2861
56	76331	262	474	3361
57	81956	233	403	2477
58	90476	223	370	3075
59	100994	196	306	2254
60	108476	189	298	2667
61	113465	158	260	2026
62	124369	142	247	2438
63	128695	124	208	1821
64	139134	141	198	2165
65	147408	114	203	1559
66	151129	99	157	1878
67	151350	93	165	1376
68	152146	74	126	1720
69	155632	86	107	1315
70	161508	84	99	1596
71	170852	65	91	1109
72	181169	63	89	1483
73	191430	74	73	975
74	197578	49	54	1263
75	199837	52	54	916
76	201011	44	49	1200
77	201414	38	47	788
78	205477	38	41	1009
79	207821	43	36	754
80	207555	22	32	885
81	206814	37	33	650
82	205976	35	27	848
83	207562	22	17	604
84	209701	31	34	780
85	207689	16	35	571
86	201651	19	14	662
87	192853	17	23	500
88	184610	17	20	646
89	172888	17	13	430
90	157105	13	11	607
91	135899	13	5	421
92	113865	4	12	534
93	93439	5	12	404
94	76575	9	6	452
95	62347	9	5	349
96	51985	6	5	420
97	43837	7	5	326
98	35390	3	3	365
99	28677	1	3	285
100	23009	3	4	308
101	19582	1	0	233
102	16460	0	1	270
103	13130	3	0	227
104	9606	2	3	237
105	6642	1	0	195
106	4416	1	0	267
107	2955	1	0	183
108	1906	0	0	227
109	1361	0	0	203
110	845	0	0	194
111	570	0	0	146
112	363	1	0	205
113	235	0	0	148
