% valor	NoC_0	NoC_1	NoC_2	NoC_3
-8998	0	0	0	1
-8997	0	0	0	0
-8996	0	0	0	0
-8995	0	0	0	0
-8994	0	0	0	0
-8993	0	0	0	0
-8992	0	0	0	0
-8991	0	0	0	0
-8990	0	0	0	0
-8989	0	0	0	0
-8988	0	0	0	0
-8987	0	0	0	0
-8986	0	0	0	0
-8985	0	0	0	0
-8984	0	0	0	0
-8983	0	0	0	1
-8982	0	0	0	0
-8981	0	0	0	0
-8980	0	0	0	0
-8979	0	0	0	0
-8978	0	0	0	0
-8977	0	0	0	0
-8976	0	0	0	0
-8975	0	0	0	0
-8974	0	0	0	0
-8973	0	0	0	0
-8972	0	0	0	0
-8971	0	0	0	0
-8970	0	0	0	0
-8969	0	0	0	0
-8968	0	0	0	0
-8967	0	0	0	0
-8966	0	0	0	0
-8965	0	0	0	0
-8964	0	0	0	0
-8963	0	0	0	0
-8962	0	0	0	0
-8961	0	0	0	0
-8960	0	0	0	0
-8959	0	0	0	0
-8958	0	0	0	0
-8957	0	0	0	0
-8956	0	0	0	0
-8955	0	0	0	0
-8954	0	0	0	0
-8953	0	0	0	0
-8952	0	0	0	0
-8951	0	0	0	0
-8950	0	0	0	0
-8949	0	0	0	0
-8948	0	0	0	0
-8947	0	0	0	0
-8946	0	0	0	0
-8945	0	0	0	0
-8944	0	0	0	1
-8943	0	0	0	0
-8942	0	0	0	1
-8941	0	0	0	0
-8940	0	0	0	0
-8939	0	0	0	0
-8938	0	0	0	0
-8937	0	0	0	0
-8936	0	0	0	0
-8935	0	0	0	0
-8934	0	0	0	0
-8933	0	0	0	0
-8932	0	0	0	0
-8931	0	0	0	0
-8930	0	0	0	0
-8929	0	0	0	0
-8928	0	0	0	0
-8927	0	0	0	0
-8926	0	0	0	0
-8925	0	0	0	0
-8924	0	0	0	1
-8923	0	0	0	0
-8922	0	0	0	0
-8921	0	0	0	0
-8920	0	0	0	0
-8919	0	0	0	0
-8918	0	0	0	0
-8917	0	0	0	0
-8916	0	0	0	0
-8915	0	0	0	0
-8914	0	0	0	0
-8913	0	0	0	0
-8912	0	0	0	0
-8911	0	0	0	0
-8910	0	0	0	0
-8909	0	0	0	0
-8908	0	0	0	0
-8907	0	0	0	0
-8906	0	0	0	0
-8905	0	0	0	0
-8904	0	0	0	0
-8903	0	0	0	0
-8902	0	0	0	0
-8901	0	0	0	0
-8900	0	0	0	0
-8899	0	0	0	0
-8898	0	0	0	0
-8897	0	0	0	0
-8896	0	0	0	0
-8895	0	0	0	0
-8894	0	0	0	0
-8893	0	0	0	0
-8892	0	0	0	0
-8891	0	0	0	0
-8890	0	0	0	0
-8889	0	0	0	0
-8888	0	0	0	0
-8887	0	0	0	0
-8886	0	0	0	0
-8885	0	0	0	0
-8884	0	0	0	0
-8883	0	0	0	0
-8882	0	0	0	0
-8881	0	0	0	0
-8880	0	0	0	0
-8879	0	0	0	0
-8878	0	0	0	0
