% valor	NoC_0	NoC_1	NoC_2	NoC_3
-141	0	0	0	15
-140	0	0	0	5
-139	0	0	0	22
-138	0	0	0	5
-137	0	0	0	6
-136	0	0	0	2
-135	0	0	0	0
-134	0	0	0	0
-133	0	0	0	0
-132	0	0	0	0
-131	0	0	0	0
-130	0	0	0	0
-129	0	0	0	0
-128	0	0	0	12
-127	0	0	0	3
-126	0	0	0	5
-125	0	0	0	1
-124	0	0	0	6
-123	0	0	0	0
-122	0	0	0	1
-121	0	0	0	0
-120	0	0	0	0
-119	0	0	0	0
-118	0	0	0	0
-117	0	0	0	0
-116	0	0	0	4
-115	0	0	0	1
-114	0	0	0	25
-113	0	0	0	18
-112	0	0	0	3
-111	0	0	0	7
-110	0	0	0	1
-109	0	0	0	2
-108	0	0	0	2
-107	0	0	0	13
-106	0	0	0	40
-105	0	0	0	32
-104	0	0	1	28
-103	0	0	2	25
-102	0	0	0	12
-101	0	0	0	10
-100	0	0	0	7
-99	0	1	0	6
-98	0	0	1	2
-97	0	1	1	1
-96	0	0	0	3
-95	0	1	1	41
-94	0	0	0	43
-93	0	0	1	30
-92	0	1	0	19
-91	0	1	2	43
-90	0	1	1	34
-89	0	0	1	40
-88	0	1	2	21
-87	0	0	0	31
-86	0	2	1	5
-85	0	1	1	10
-84	0	4	0	53
-83	0	1	2	22
-82	0	3	5	38
-81	0	0	1	50
-80	0	1	2	49
-79	0	2	1	47
-78	0	4	4	125
-77	0	3	2	86
-76	0	2	2	115
-75	0	7	7	51
-74	0	6	9	109
-73	0	3	10	152
-72	0	5	4	155
-71	0	11	11	80
-70	0	10	8	127
-69	0	7	14	168
-68	0	12	12	133
-67	0	11	8	144
-66	0	8	16	114
-65	0	7	24	139
-64	0	15	27	203
-63	0	13	26	170
-62	0	17	25	236
-61	0	18	21	256
-60	0	17	27	470
-59	0	33	33	514
-58	0	17	45	573
-57	0	25	71	627
-56	0	37	54	643
-55	0	44	48	517
-54	0	29	68	589
-53	0	44	98	609
-52	0	47	91	844
-51	0	57	85	656
-50	0	53	88	861
-49	0	63	80	803
-48	0	95	110	812
-47	0	96	135	868
-46	0	132	136	1218
-45	0	130	150	1074
-44	0	134	190	1392
-43	0	155	205	1064
-42	0	173	266	1638
-41	0	204	292	1430
-40	0	220	343	1825
-39	0	251	428	1738
-38	0	313	494	2015
-37	0	329	510	1736
-36	0	347	591	2372
-35	0	401	621	1999
-34	0	454	634	3050
-33	0	543	742	2795
-32	0	607	881	3458
-31	0	649	1076	2944
-30	0	725	1201	3979
-29	0	797	1285	3306
-28	0	855	1508	4636
-27	0	1034	1644	4376
-26	0	1131	1902	5668
-25	0	1354	2116	4728
-24	0	1462	2339	6641
-23	0	1692	2906	5278
-22	0	2026	3453	8343
-21	0	2635	4024	7643
-20	0	2877	4494	10809
-19	0	3066	5026	9324
-18	0	3187	5755	13028
-17	0	3542	6646	10879
-16	0	4043	7307	16140
-15	0	4443	8476	12786
-14	0	5126	9934	19101
-13	0	5821	11713	15780
-12	0	6545	13842	24811
-11	0	7479	16776	21686
-10	0	8612	20007	33757
-9	0	10039	24024	30192
-8	0	11663	29567	50744
-7	0	16139	37501	46859
-6	0	22377	50818	98556
-5	0	33506	76085	94532
-4	0	62800	134478	276310
-3	0	156037	288671	286043
-2	0	494302	693045	943802
-1	0	1632163	1547062	1082233
0	1394360	3457096	2428747	2428747
1	1060532	1598050	1542784	1014550
2	824908	490183	689578	857105
3	741737	163235	288098	256055
4	662696	69767	135888	232421
5	589334	38445	77145	79150
6	537921	24627	51849	80361
7	492438	17704	37735	34445
8	434208	13258	28488	39308
9	357244	10758	22933	20607
10	276050	9011	19558	24198
11	207626	7755	16688	14511
12	155265	6421	13562	16888
13	118855	5719	11342	10818
14	90804	4923	10331	13101
15	66576	4258	8734	8395
16	48481	3720	7594	10157
17	37230	3439	6752	7000
18	30402	2917	5834	8581
19	25114	2709	5179	6133
20	21023	2641	4660	7412
21	19451	2274	4038	5347
22	18370	1876	3466	6408
23	16635	1556	3042	4625
24	14564	1336	2745	5387
25	13117	1195	2456	4081
26	12449	1078	2056	4915
27	12244	945	1742	3623
28	11759	791	1603	4410
29	11277	739	1497	3185
30	10640	640	1310	3783
31	10290	616	1068	2830
32	9984	524	889	3363
33	10058	439	674	2622
34	9573	403	561	3079
35	9274	388	529	2333
36	9151	351	500	2758
37	8650	314	450	2191
38	8431	262	339	2656
39	8093	242	281	2030
40	7192	208	274	2321
41	6131	181	246	1765
42	5612	142	211	1948
43	4844	143	168	1343
44	4354	116	167	1653
45	3724	130	172	1170
46	3121	78	156	1413
47	2799	84	166	1003
48	2525	85	141	1219
49	2277	57	103	879
50	2154	53	77	1121
51	1990	69	72	787
52	1823	54	70	957
53	1787	46	45	693
54	1525	30	66	833
55	1365	32	49	593
56	1214	23	34	781
57	1188	31	49	544
58	1153	30	31	693
59	1125	42	30	499
60	1033	22	31	600
61	1030	19	14	492
62	943	20	24	547
63	1004	17	24	393
64	1034	10	20	505
65	1023	14	12	349
66	927	12	8	389
67	770	6	10	340
68	601	6	13	370
69	474	5	13	243
70	309	4	25	369
71	271	3	24	229
72	226	6	9	300
73	169	2	7	222
74	181	1	1	265
75	129	3	3	199
76	114	1	4	249
77	126	4	3	175
78	117	1	0	201
79	93	1	1	153
80	86	2	0	179
81	90	1	4	146
82	74	5	2	162
83	82	2	3	105
84	67	2	1	137
85	56	0	1	114
86	68	1	2	127
87	78	2	1	90
88	72	0	0	113
89	64	0	1	79
90	43	3	1	111
91	52	0	3	73
92	56	1	2	84
93	68	3	1	65
94	62	1	0	78
95	48	0	1	56
96	50	0	0	68
97	48	0	0	51
98	38	0	0	51
99	65	0	1	33
100	1218	0	0	52
101	0	0	0	54
102	0	0	0	55
103	0	0	0	33
104	0	0	0	43
105	0	0	0	34
106	0	0	0	33
107	0	0	0	37
108	0	0	0	32
109	0	0	0	24
110	0	0	0	22
111	0	0	0	23
112	0	0	0	20
113	0	0	0	22
114	0	0	1	32
115	0	0	0	24
116	0	0	0	24
117	0	0	0	26
118	0	0	0	18
119	0	0	0	14
120	0	0	0	20
121	0	0	0	19
122	0	0	0	9
123	0	0	0	11
124	0	0	0	12
125	0	0	0	10
126	0	0	0	20
127	0	0	0	7
128	0	0	0	14
129	0	0	0	9
130	0	0	0	15
131	0	0	0	8
132	0	0	0	7
133	0	0	0	8
134	0	0	0	4
135	0	0	0	8
136	0	0	0	6
137	0	0	0	5
138	0	0	0	6
139	0	0	0	3
140	0	0	0	4
141	0	0	0	6
142	0	0	0	5
143	0	0	0	5
144	0	0	0	3
145	0	0	0	3
146	0	0	0	4
147	0	0	0	2
148	0	0	0	4
149	0	0	0	3
150	0	0	0	3
151	0	0	0	1
152	0	0	0	4
153	0	0	0	1
154	0	0	0	2
155	0	0	0	8
156	0	0	0	1
157	0	0	0	0
158	0	0	0	1
159	0	0	0	0
160	0	0	0	1
161	0	0	0	0
162	0	0	0	2
163	0	0	0	3
164	0	0	0	1
165	0	0	0	1
166	0	0	0	3
167	0	0	0	0
168	0	0	0	0
169	0	0	0	0
170	0	0	0	0
171	0	0	0	1
172	0	0	0	2
173	0	0	0	0
174	0	0	0	1
175	0	0	0	2
176	0	0	0	0
177	0	0	0	0
178	0	0	0	1
179	0	0	0	2
180	0	0	0	1
181	0	0	0	1
182	0	0	0	1
183	0	0	0	1
184	0	0	0	2
185	0	0	0	1
186	0	0	0	1
187	0	0	0	0
188	0	0	0	0
189	0	0	0	0
190	0	0	0	0
191	0	0	0	0
192	0	0	0	0
193	0	0	0	0
194	0	0	0	0
195	0	0	0	0
