% sensor	int_min	int_max	ocu_min	ocu_max	car_min	car_max	vel_min	vel_max
0	0	6000	0	85	0	100	0	100
1	0	7016	0	66	0	100	0	117
2	0	4724	0	55	0	100	0	114
3	0	4709	0	77	0	100	0	104
4	0	5976	0	54	0	100	0	117
5	0	6184	0	89	0	100	0	112
6	0	5104	0	73	0	100	0	102
7	0	6888	0	83	0	100	0	103
8	0	8452	0	43	0	100	0	109
9	0	5928	0	52	0	100	0	118
10	0	4608	0	83	0	100	0	101
11	0	4800	0	82	0	100	0	114
12	0	7263	0	66	0	100	0	113
13	0	3997	0	80	0	100	0	96
14	0	5120	0	67	0	100	0	103
15	0	6600	0	51	0	94	0	94
16	0	3157	0	89	0	100	0	94
17	0	6084	0	45	0	100	0	71
18	0	5472	0	100	0	100	0	97
19	0	5841	0	73	0	100	0	96
20	0	5388	0	55	0	100	0	101
21	0	5248	0	63	0	100	0	104
22	0	3653	0	19	0	71	0	87
23	0	4261	0	15	0	82	0	103
24	0	4168	0	47	0	64	0	109
25	0	4727	0	31	0	92	0	100
26	0	1900	0	61	0	100	0	83
27	0	1020	0	43	0	64	0	198
28	0	1964	0	51	0	66	0	88
29	0	2981	0	37	0	100	0	111
30	0	4932	0	67	0	100	0	101
31	0	5412	0	66	0	100	0	102
32	0	5132	0	54	0	100	0	99
33	0	5379	0	59	0	100	0	92
34	0	6165	0	69	0	99	0	93
35	0	8105	0	45	0	100	0	95
36	0	3348	0	84	0	100	0	102
37	0	4676	0	62	0	100	0	100
38	0	6168	0	83	0	100	0	81
39	0	3896	0	75	0	100	0	97
40	0	3420	0	75	0	97	0	93
41	0	2044	0	83	0	83	0	93
42	0	2013	0	83	0	100	0	85
43	0	1684	0	77	0	95	0	79
44	0	1408	0	100	0	100	0	81
45	0	3224	0	65	0	92	0	89
46	0	3792	0	47	0	100	0	85
47	0	1932	0	62	0	99	0	81
48	0	1264	0	61	0	100	0	87
49	0	2748	0	50	0	100	0	68
50	0	1605	0	57	0	93	0	79
51	0	4736	0	40	0	89	0	110
52	0	5836	0	54	0	100	0	118
53	0	6116	0	66	0	100	0	103
54	0	4348	0	87	0	100	0	105
55	0	4420	0	84	0	100	0	94
56	0	4363	0	53	0	100	0	108
57	0	7135	0	52	0	100	0	102
58	0	5233	0	77	0	100	0	97
59	0	5156	0	53	0	100	0	101
60	0	5416	0	76	0	100	0	99
61	0	7088	0	68	0	100	0	100
62	0	5493	0	61	0	100	0	91
63	0	6065	0	54	0	100	0	107
64	0	5025	0	84	0	100	0	101
65	0	5205	0	55	0	100	0	103
66	0	5132	0	89	0	100	0	98
67	0	3445	0	87	0	97	0	88
68	0	4036	0	77	0	78	0	93
69	0	5968	0	87	0	100	0	90
70	0	3544	0	62	0	100	0	103
71	0	4072	0	50	0	100	0	101
72	0	3628	0	76	0	100	0	110
73	0	5424	0	49	0	100	0	99
74	0	4623	0	60	0	94	0	111
75	0	4761	0	71	0	79	0	106
76	0	5320	0	47	0	78	0	100
77	0	6149	0	41	0	93	0	98
78	0	3612	0	25	0	53	0	106
79	0	5013	0	21	0	94	0	103
80	0	5075	0	26	0	98	0	99
81	0	3360	0	70	0	73	0	65
82	0	3729	0	57	0	78	0	81
83	0	3480	0	64	0	99	0	81
84	0	6325	0	47	0	100	0	108
85	0	2520	0	60	0	73	0	75
86	0	2753	0	78	0	100	0	93
87	0	1409	0	89	0	100	0	89
88	0	5123	0	61	0	100	0	104
89	0	5029	0	45	0	100	0	97
90	0	2381	0	100	0	100	0	102
91	0	4156	0	84	0	100	0	98
92	0	4935	0	73	0	100	0	94
93	0	3880	0	78	0	98	0	95
94	0	3396	0	74	0	99	0	120
95	0	3324	0	68	0	100	0	97
96	0	3156	0	100	0	100	0	95
97	0	2068	0	68	0	77	0	80
98	0	2411	0	78	0	96	0	90
99	0	1100	0	86	0	100	0	76
100	0	2016	0	49	0	100	0	78
101	0	3809	0	43	0	100	0	99
102	0	2477	0	59	0	72	0	86
103	0	1652	0	75	0	100	0	76
104	0	2383	0	86	0	100	0	84
105	0	1811	0	57	0	100	0	93
106	0	972	0	45	0	64	0	90
107	0	1524	0	61	0	100	0	72
108	0	1992	0	55	0	100	0	93
109	0	1789	0	61	0	72	0	94
110	0	1376	0	53	0	79	0	84
111	0	1784	0	78	0	100	0	91
112	0	1949	0	84	0	100	0	68
113	0	1555	0	65	0	89	0	69
114	0	1784	0	65	0	99	0	54
115	0	3620	0	67	0	100	0	95
116	0	2724	0	59	0	80	0	79
117	0	2063	0	79	0	100	0	93
118	0	944	0	40	0	57	0	70
119	0	1404	0	83	0	83	0	82
120	0	3240	0	69	0	100	0	104
121	0	3284	0	83	0	100	0	108
122	0	3476	0	56	0	100	0	96
123	0	2380	0	78	0	100	0	94
124	0	1008	0	59	0	69	0	79
125	0	1400	0	66	0	77	0	96
126	0	596	0	99	0	99	0	79
127	0	1552	0	71	0	88	0	83
128	0	3556	0	62	0	98	0	96
129	0	2245	0	55	0	100	0	103
130	0	2099	0	100	0	100	0	93
131	0	1744	0	47	0	98	0	80
132	0	1879	0	93	0	100	0	91
133	0	1528	0	81	0	81	0	93
134	0	1576	0	100	0	100	0	74
135	0	1223	0	76	0	77	0	58
136	0	1612	0	72	0	91	0	68
137	0	1259	0	74	0	75	0	63
138	0	1888	0	84	0	100	0	92
139	0	1021	0	33	0	99	0	85
140	0	2141	0	81	0	100	0	94
141	0	3060	0	80	0	100	0	92
142	0	1464	0	39	0	83	0	79
143	0	2343	0	100	0	100	0	100
144	0	1643	0	80	0	100	0	80
145	0	1712	0	92	0	100	0	93
146	0	1832	0	85	0	100	0	94
147	0	1216	0	76	0	77	0	89
148	0	3149	0	38	0	91	0	94
149	0	820	0	40	0	96	0	80
150	0	5728	0	85	0	100	0	119
151	0	636	0	97	0	97	0	80
152	0	6084	0	65	0	100	0	107
153	0	1912	0	69	0	100	0	51
154	0	3224	0	66	0	91	0	123
155	0	1064	0	100	0	100	0	72
156	0	2616	0	100	0	100	0	103
157	0	1612	0	48	0	91	0	141
158	0	4200	0	64	0	65	0	76
159	0	2468	0	14	0	48	0	89
160	0	1256	0	79	0	79	0	57
161	0	3548	0	68	0	99	0	112
162	0	1416	0	51	0	83	0	86
163	0	3360	0	83	0	84	0	80
164	0	3856	0	68	0	100	0	88
165	0	5756	0	48	0	84	0	104
166	0	3588	0	63	0	100	0	93
167	0	5992	0	52	0	91	0	72
168	0	4692	0	56	0	92	0	79
169	0	837	0	80	0	95	0	56
170	0	3928	0	47	0	100	0	97
171	0	1223	0	98	0	98	0	75
172	0	4079	0	62	0	98	0	186
173	0	1564	0	75	0	92	0	167
174	0	3471	0	66	0	96	0	84
175	0	6904	0	56	0	79	0	128
176	0	1132	0	78	0	81	0	76
177	0	3228	0	97	0	100	0	110
178	0	1284	0	100	0	100	0	78
179	0	2040	0	46	0	61	0	56
180	0	3648	0	42	0	100	0	106
181	0	1122	0	40	0	69	0	84
182	0	1520	0	68	0	100	0	95
183	0	4464	0	54	0	100	0	123
184	0	1856	0	41	0	68	0	100
185	0	1576	0	79	0	100	0	106
186	0	1792	0	72	0	99	0	87
187	0	3000	0	100	0	100	0	116
188	0	5869	0	47	0	99	0	97
189	0	1199	0	57	0	72	0	59
190	0	1192	0	54	0	71	0	56
191	0	2060	0	100	0	100	0	110
192	0	1653	0	100	0	100	0	90
193	0	632	0	80	0	81	0	76
194	0	2380	0	85	0	96	0	76
195	0	1464	0	100	0	100	0	89
196	0	2619	0	75	0	97	0	108
197	0	723	0	99	0	99	0	79
198	0	5324	0	35	0	98	0	112
199	0	3962	0	54	0	100	0	89
200	0	2756	0	88	0	91	0	91
201	0	1084	0	92	0	92	0	91
202	0	2981	0	56	0	85	0	113
203	0	4765	0	56	0	100	0	107
204	0	2925	0	64	0	89	0	92
205	0	1445	0	78	0	79	0	81
206	0	3028	0	16	0	61	0	78
207	0	1388	0	63	0	82	0	70
208	0	2960	0	52	0	63	0	65
209	0	4072	0	75	0	100	0	53
210	0	4605	0	66	0	93	0	98
211	0	4080	0	58	0	100	0	90
212	0	2701	0	65	0	78	0	235
213	0	5611	0	52	0	100	0	75
214	0	2004	0	37	0	95	0	63
215	0	5024	0	47	0	92	0	79
216	0	292	0	40	0	40	0	43
217	0	780	0	82	0	82	0	48
218	0	4452	0	62	0	94	0	78
219	0	3676	0	78	0	98	0	98
220	0	1591	0	83	0	91	0	76
221	0	3781	0	51	0	98	0	107
222	0	1965	0	54	0	61	0	90
223	0	2864	0	78	0	99	0	85
224	0	1705	0	58	0	98	0	101
225	0	4975	0	41	0	72	0	109
226	0	1608	0	69	0	90	0	89
227	0	2904	0	56	0	83	0	98
228	0	3173	0	58	0	100	0	100
229	0	2639	0	63	0	65	0	86
230	0	3468	0	83	0	85	0	101
231	0	2156	0	79	0	100	0	90
232	0	3352	0	98	0	100	0	95
233	0	1600	0	100	0	100	0	85
234	0	4451	0	51	0	100	0	105
235	0	3244	0	100	0	100	0	72
236	0	753	0	100	0	100	0	57
237	0	3664	0	61	0	100	0	109
238	0	1440	0	63	0	83	0	84
239	0	1620	0	54	0	97	0	70
