dataset	IAET	N	valorN	total	fijas	noFijas	nofijasSinVecino
APCP	0.9701	80320	80320	103936	23263	80209	353
CAPE	0.9113	80433	80433	103936	23153	80319	350
CONVfrac	0.9553	77440	77440	103936	26121	77351	375
DLWRF	0.9391	80433	80433	103936	23153	80319	350
DSWRF	0.9707	80433	80433	103936	23153	80319	350
PEVAP	0.9559	80433	80433	103936	23153	80319	350
PRES	0.9620	80433	80433	103936	23153	80319	350
SPFH	0.9038	25500	25500	103936	77961	25511	475
TMP	0.9476	80433	80433	103936	23153	80319	350
UGRD	0.9424	80433	80433	103936	23153	80319	350
VGRD	0.9533	80433	80433	103936	23153	80319	350

2024/08/02
Filas: 464 - Cols: 224 - Muestras: 2665								
dataset	IAET	IEUC	N	total	fijas	noFijas	NFconV	NFsinV
APCP	0.9700	0.9895	80309	103936	23607	80329	80309	20
CAPE	0.9089	0.9825	80422	103936	23497	80439	80422	17
CONVfrac	0.9552	0.9936	77429	103936	26465	77471	77429	42
DLWRF	0.9378	0.9900	80422	103936	23497	80439	80422	17
DSWRF	0.9703	0.9899	80422	103936	23497	80439	80422	17
PEVAP	0.9554	0.9898	80422	103936	23497	80439	80422	17
PRES	0.9619	0.9766	80422	103936	23497	80439	80422	17
SPFH	0.9020	0.0000	25484	103936	78353	25583	25484	99
TMP	0.9470	0.9872	80422	103936	23497	80439	80422	17
UGRD	0.9422	0.9919	80422	103936	23497	80439	80422	17
VGRD	0.9528	0.9920	80422	103936	23497	80439	80422	17
