1 2 3 4 5 6 7 8 9 10
2 3 4 5 6 7 8 9 10 11
11 12 13 14 15 16 17 18 19 20
10 9 8 7 6 5 4 3 2 1
2 4 6 8 10 12 14 16 18 20
1 3 5 7 9 11 13 15 17 19
1 1 1 1 1 1 1 1 1 1
5 5 5 5 5 5 5 5 5 5
10 10 10 10 10 10 10 10 10 10
15 15 15 15 15 15 15 15 15 15
1 1 2 2 3 3 4 4 5 5
10 10 9 9 8 8 7 7 6 6
1 2 3 4 5 6 7 8 7 7
2 2 3 4 5 6 7 8 9 10
20 19 18 17 16 15 14 13 12 11
20 18 16 14 12 10 8 6 4 2
Comparativa por promedio de la serie de tiempo:
	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]
 [0]	0	-1	-10	0	-6	-5	4	0	-5	-10	2	-3	0	0	-10	-6	
 [1]	1	0	-9	1	-5	-4	5	1	-4	-9	3	-2	1	1	-9	-5	
 [2]	10	9	0	10	4	5	14	10	5	0	12	7	10	10	0	4	
 [3]	0	-1	-10	0	-6	-5	4	0	-5	-10	2	-3	0	0	-10	-6	
 [4]	6	5	-4	6	0	1	10	6	1	-4	8	3	6	6	-4	0	
 [5]	5	4	-5	5	-1	0	9	5	0	-5	7	2	5	5	-5	-1	
 [6]	-4	-5	-14	-4	-10	-9	0	-4	-9	-14	-2	-7	-4	-4	-14	-10	
 [7]	0	-1	-10	0	-6	-5	4	0	-5	-10	2	-3	0	0	-10	-6	
 [8]	5	4	-5	5	-1	0	9	5	0	-5	7	2	5	5	-5	-1	
 [9]	10	9	0	10	4	5	14	10	5	0	12	7	10	10	0	4	
 [10]	-2	-3	-12	-2	-8	-7	2	-2	-7	-12	0	-5	-2	-2	-12	-8	
 [11]	3	2	-7	3	-3	-2	7	3	-2	-7	5	0	3	3	-7	-3	
 [12]	0	-1	-10	0	-6	-5	4	0	-5	-10	2	-3	0	0	-10	-6	
 [13]	0	-1	-10	0	-6	-5	4	0	-5	-10	2	-3	0	0	-10	-6	
 [14]	10	9	0	10	4	5	14	10	5	0	12	7	10	10	0	4	
 [15]	6	5	-4	6	0	1	10	6	1	-4	8	3	6	6	-4	0	

Comparativa por diferencia de las series de tiempo:
	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]
 [0]	0	-10	-100	0	-55	-45	45	5	-45	-95	25	-25	5	-1	-100	-55	
 [1]	10	0	-90	10	-45	-35	55	15	-35	-85	35	-15	15	9	-90	-45	
 [2]	100	90	0	100	45	55	145	105	55	5	125	75	105	99	0	45	
 [3]	0	-10	-100	0	-55	-45	45	5	-45	-95	25	-25	5	-1	-100	-55	
 [4]	55	45	-45	55	0	10	100	60	10	-40	80	30	60	54	-45	0	
 [5]	45	35	-55	45	-10	0	90	50	0	-50	70	20	50	44	-55	-10	
 [6]	-45	-55	-145	-45	-100	-90	0	-40	-90	-140	-20	-70	-40	-46	-145	-100	
 [7]	-5	-15	-105	-5	-60	-50	40	0	-50	-100	20	-30	0	-6	-105	-60	
 [8]	45	35	-55	45	-10	0	90	50	0	-50	70	20	50	44	-55	-10	
 [9]	95	85	-5	95	40	50	140	100	50	0	120	70	100	94	-5	40	
 [10]	-25	-35	-125	-25	-80	-70	20	-20	-70	-120	0	-50	-20	-26	-125	-80	
 [11]	25	15	-75	25	-30	-20	70	30	-20	-70	50	0	30	24	-75	-30	
 [12]	-5	-15	-105	-5	-60	-50	40	0	-50	-100	20	-30	0	-6	-105	-60	
 [13]	1	-9	-99	1	-54	-44	46	6	-44	-94	26	-24	6	0	-99	-54	
 [14]	100	90	0	100	45	55	145	105	55	5	125	75	105	99	0	45	
 [15]	55	45	-45	55	0	10	100	60	10	-40	80	30	60	54	-45	0	

Comparativa por distancia euclidea entre las series de tiempo:
	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]
 [0]	0	3.16228	31.6228	18.1659	19.6214	16.8819	16.8819	9.21954	16.8819	31.3847	9.21954	15.6525	3.60555	1	36.4692	32.3265	
 [1]	3.16228	0	28.4605	18.4391	16.8819	14.3178	19.6214	10.247	14.3178	28.3725	12.0416	14.3178	5.74456	3	33.7639	30.7409	
 [2]	31.6228	28.4605	0	36.4692	16.8819	19.6214	46.744	34.4238	19.6214	9.21954	39.8121	27.2947	33.3617	31.3209	18.1659	30.7409	
 [3]	18.1659	18.4391	36.4692	0	32.3265	30.7409	16.8819	9.21954	16.8819	31.3847	15.6525	9.21954	16.1555	17.6918	31.6228	19.6214	
 [4]	19.6214	16.8819	16.8819	32.3265	0	3.16228	36.4692	26.2679	18.4391	22.1359	28.8097	24.4949	22.2261	19.5959	30.7409	36.3318	
 [5]	16.8819	14.3178	19.6214	30.7409	3.16228	0	33.7639	24.0832	18.1659	24.0832	26.0768	23.4521	19.5959	16.9115	32.3265	36.4692	
 [6]	16.8819	19.6214	46.744	16.8819	36.4692	33.7639	0	12.6491	28.4605	44.2719	7.74597	22.5832	14.5602	16.9115	46.744	36.4692	
 [7]	9.21954	10.247	34.4238	9.21954	26.2679	24.0832	12.6491	0	15.8114	31.6228	7.74597	10.4881	7.2111	8.83176	34.4238	26.2679	
 [8]	16.8819	14.3178	19.6214	16.8819	18.4391	18.1659	28.4605	15.8114	0	15.8114	22.5832	7.74597	17.3781	16.3707	19.6214	18.4391	
 [9]	31.3847	28.3725	9.21954	31.3847	22.1359	24.0832	44.2719	31.6228	15.8114	0	38.2099	22.5832	32.4345	30.9516	9.21954	22.1359	
