Instante	APCP	CAPE	CONVfrac	DLWRF	DSWRF	PEVAP	PRES	SPFH	TMP	UGRD	VGRD
0	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147743	0.148507	0.148548	0.148007	0.148535
1	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147743	0.148507	0.148548	0.148007	0.148535
2	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147743	0.148507	0.148548	0.148007	0.148535
3	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147743	0.148507	0.148548	0.148007	0.148535
4	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147743	0.148507	0.148548	0.148007	0.148535
5	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
6	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
7	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
8	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
9	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
10	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
11	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
12	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
13	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
14	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
15	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
16	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
17	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147742	0.148507	0.148548	0.148007	0.148535
