Instante	APCP	CAPE	CONV	DLWRF	DSWRF	PEVAP	PRES	SPFH	TMP	UGRD	VGRD
0	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147031	0.147851	0.148147	0.148343	0.147638
1	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
2	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
3	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
4	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
5	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
6	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
7	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
8	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
9	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
10	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
11	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
12	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
13	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
14	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
15	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
16	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
17	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
18	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
19	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147029	0.147851	0.148147	0.148343	0.147638
20	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
21	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
22	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
23	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
24	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
25	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
26	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
27	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
28	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14703	0.147851	0.148147	0.148343	0.147638
29	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147031	0.147851	0.148147	0.148343	0.147638
30	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147031	0.147851	0.148147	0.148343	0.147638
31	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147031	0.147851	0.148147	0.148343	0.147638
32	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147031	0.147851	0.148147	0.148343	0.147638
33	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147031	0.147851	0.148147	0.148343	0.147638
34	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147031	0.147851	0.148147	0.148343	0.147638
35	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147032	0.147851	0.148147	0.148343	0.147638
36	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147032	0.147851	0.148147	0.148343	0.147638
37	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147032	0.147851	0.148147	0.148343	0.147638
38	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147032	0.147851	0.148147	0.148343	0.147638
39	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147032	0.147851	0.148147	0.148343	0.147638
40	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147032	0.147851	0.148147	0.148343	0.147638
41	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147032	0.147851	0.148147	0.148343	0.147638
42	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147032	0.147851	0.148147	0.148343	0.147638
43	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147033	0.147851	0.148147	0.148343	0.147638
44	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147033	0.147851	0.148147	0.148343	0.147638
45	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
46	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147033	0.147851	0.148147	0.148343	0.147638
47	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147033	0.147851	0.148147	0.148343	0.147638
48	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147033	0.147851	0.148147	0.148343	0.147638
49	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147033	0.147851	0.148147	0.148343	0.147638
50	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
