	Media	TS_euc	TS_sum_diffs	TS_media	TS_euc_o2
APCP_NLDAS_week_01.txt	0.860307	0.973001	0.965633	0.973162	0.950468 
CAPE_NLDAS_week_01.txt	0.821441	0.883018	0.739224	0.973162	0.832792 
CONV_NLDAS_week_01.txt	0.795982	0.966962	0.941875	0.973162	0.947831 
DLWRF_NLDAS_week_01.txt	0.958707	0.996139	0.950443	0.950443	0.99377 
DSWRF_NLDAS_week_01.txt	0.939977	0.997214	0.962925	0.973162	0.995633 
PEVAP_NLDAS_week_01.txt	0.965184	0.992486	0.966063	0.970395	0.98766 
PRES_NLDAS_week_01.txt	0.964206	0.991858	0.964173	0.964173	0.986869 
SPFH_NLDAS_week_01.txt	0.95205	0.898305	0.955975	0.973162	0.853959 
TMP_NLDAS_week_01.txt	0.961241	0.995797	0.959184	0.959183	0.993153 
UGRD_NLDAS_week_01.txt	0.974592	0.990077	0.974317	0.939365	0.983958 
VGRD_NLDAS_week_01.txt	0.978003	0.990384	0.977453	0.938738	0.984623 
APCP_NLDAS_FORA0125_H.txt	0.871434	0.988709	0.97776	0.973162	0.97926 
CAPE_NLDAS_FORA0125_H.txt	0.888642	0.983027	0.942005	0.973162	0.975399 
CONVfrac_NLDAS_FORA0125_H.txt	0.813624	0.987524	0.956876	0.973162	0.980484 
DLWRF_NLDAS_FORA0125_H.txt	0.96327	0.996614	0.957135	0.957135	0.994451 
DSWRF_NLDAS_FORA0125_H.txt	0.960609	0.997632	0.961265	0.973162	0.996124 
PEVAP_NLDAS_FORA0125_H.txt	0.970518	0.991959	0.971609	0.97285	0.987236 
PRES_NLDAS_FORA0125_H.txt	0.96417	0.991864	0.964139	0.964139	0.986871 
SPFH_NLDAS_FORA0125_H.txt	0.953146	0.957854	0.956649	0.973162	0.938817 
TMP_NLDAS_FORA0125_H.txt	0.964157	0.995623	0.96272	0.962719	0.992859 
UGRD_NLDAS_FORA0125_H.txt	0.974664	0.990432	0.97397	0.957715	0.9846 
VGRD_NLDAS_FORA0125_H.txt	0.976456	0.991012	0.975594	0.955222	0.985683 
