dataset	moranIdiff	IAET	totalCeldas	celdasFijas	totalW
APCP	0.975398	0.979284	103936	23607	640561
CAPE	0.941874	0.909357	103936	23497	641441
CONVfrac	0.954237	0.964976	103936	26465	617841
DLWRF	0.946603	0.942292	103936	23497	641441
DSWRF	0.95502	0.977335	103936	23497	641441
PEVAP	0.974156	0.960998	103936	23497	641441
PRES	0.959889	0.976017	103936	23497	641441
SPFH	0.90416	0.972764	103936	78353	204448
TMP	0.959516	0.939243	103936	23497	641441
UGRD	0.979094	0.996152	103936	23497	641441
VGRD	0.983586	0.999759	103936	23497	641441
