dataset	moranIdiff	IAET	totalCeldas	celdasFijas	totalW
APCP	0.961796	0.967917	103936	27002	613482
CAPE	0.736924	0.718275	103936	26591	616740
CONV	0.937782	0.947419	103936	47986	446539
DLWRF	0.931744	0.938855	103936	23497	641441
DSWRF	0.963807	0.977695	103936	23497	641441
PEVAP	0.958151	0.924895	103936	23497	641441
PRES	0.959898	0.975611	103936	23497	641441
SPFH	0.816751	0.925613	103936	89448	115727
TMP	0.953871	0.925854	103936	23497	641441
UGRD	0.97982	0.996902	103936	23497	641441
VGRD	0.987753	0.999977	103936	23497	641441
