id	cant
1001	2779
1002	2779
1003	2779
1006	2779
1009	2779
1010	2779
1011	2779
1012	2779
1013	2779
1014	2779
1015	2779
1016	2779
1017	2779
1018	2779
1019	2779
1020	2779
1021	2779
1022	2779
1023	2779
1024	2779
1025	2779
1026	2779
1027	2779
1028	2779
1029	2779
1030	2779
1031	2779
1032	2779
1033	2779
1034	2779
1035	2779
1036	2779
1037	2779
1038	2779
1039	2779
1040	2779
1041	2779
1042	2779
1043	2779
1044	2779
1045	2779
1046	2779
1047	2779
1048	2779
1049	2779
1050	2779
1052	2779
3395	2680
3396	2720
3397	2738
3398	2534
3399	2305
3400	2493
3401	2732
3402	2175
3403	2439
3404	2770
3405	2770
3406	2769
3407	2770
3408	2730
3409	2770
3410	2773
3411	2778
3412	2719
3413	2728
3414	2716
3415	2655
3416	2637
3417	2497
3418	2721
3419	2678
3420	2742
3421	2778
3423	2774
3424	2778
3425	2778
3426	2778
3427	2778
3428	2760
3430	2751
3431	2770
3432	2766
3433	2778
3434	2778
3435	2778
3436	2778
3437	2732
3438	1818
3439	2778
3440	2545
3442	2732
3443	2673
3444	2435
3445	2768
3446	2762
3447	2770
3449	2683
3452	2778
3453	2778
3454	2777
3455	2778
3456	2778
3457	2767
3458	2760
3459	2739
3460	2769
3461	2778
3462	2778
3463	2705
3464	2543
3465	2658
3466	2716
3467	2722
3468	2697
3469	2734
3470	2525
3471	2045
3472	2532
3473	2716
3474	2736
3475	2739
3476	2737
3477	2732
3478	2719
3479	2733
3480	2770
3481	2760
3482	2665
3484	2751
3485	2579
3486	2739
3487	2777
3488	2759
3489	2779
3490	2638
3491	2756
3492	2714
3493	2777
3494	2779
3495	2779
3496	2779
3497	2706
3498	2777
3499	2778
3500	2777
3501	2697
3502	2708
3503	2728
3504	2394
3505	2777
3506	2778
3507	2778
3508	2776
3509	2737
3510	2
3511	2770
3512	2636
3513	2778
3514	2614
3515	2778
3516	2778
3517	2768
3518	2775
3519	2772
3520	2728
3521	2764
3522	2775
3523	2736
3524	2717
3525	2727
3526	2740
3527	525
3528	2679
3529	2776
3530	2639
3531	2779
3532	2775
3533	2779
3536	2779
3538	2761
3539	2779
3542	2779
3544	2779
3545	2779
3546	2779
3551	2767
3553	2407
3556	2766
3557	2772
3558	2779
3559	2770
3560	2778
3561	2767
3562	2754
3563	2648
3564	2222
3565	2636
3566	2773
3567	2772
3568	2773
3569	2773
3570	2112
3571	1447
3572	2772
3573	1019
3574	2753
3576	2773
3577	2493
3578	2762
3579	2765
3580	2778
3581	2745
3582	2614
3583	2778
3584	2778
3585	2718
3586	2734
3587	2772
3588	2722
3589	2629
3590	2758
3591	2663
3592	2686
3593	2778
3594	2778
3595	2639
3596	2738
3597	2779
3598	2779
3599	2779
3600	2779
3601	2515
3602	2656
3603	2737
3605	2580
3606	2770
3607	2778
3608	2778
3609	2775
3610	2765
3611	2774
3612	2772
3613	2757
3614	2720
3615	2667
3616	2778
3618	2608
3619	2770
3620	2778
3621	2732
3622	2778
3623	2773
3624	2770
3626	2727
3627	2758
3628	2773
3629	2773
3630	2762
3631	2769
3632	2725
3633	2690
3634	2769
3636	2768
3637	2773
3638	2394
3639	2682
3640	2772
3641	2773
3642	2778
3643	2763
3644	2778
3645	2778
3646	2778
3647	2778
3648	2469
3649	2778
3650	2651
3651	2701
3653	2716
3654	2676
3655	2762
3656	2778
3657	2778
3658	2778
3659	2778
3660	2776
3661	2778
3663	2778
3664	2778
3665	2767
3666	2778
3667	2778
3668	2778
3669	2639
3670	2576
3671	2726
3672	2730
3674	2778
3675	2514
3676	2716
3677	2686
3678	2554
3679	2778
3680	2614
3681	2774
3683	2652
3684	2773
3685	2773
3686	2773
3687	2760
3688	2769
3689	2662
3690	2638
3691	2731
3693	2778
3694	2777
3695	2778
3696	2747
3697	2756
3698	2756
3699	2583
3700	2745
3702	2773
3703	2779
3704	2779
3705	2774
3706	2779
3707	2704
3708	2556
3709	2778
3710	2778
3711	2726
3712	2719
3713	2564
3714	2696
3715	2741
3716	1815
3717	2736
3718	2702
3719	2738
3720	2778
3722	2740
3723	2722
3724	2668
3725	2634
3726	2529
3727	2669
3728	2435
3729	2704
3730	2733
3731	2726
3733	2728
3734	2714
3735	2688
3737	1584
3738	2487
3739	2628
3740	2665
3741	2736
3742	2770
3743	2776
3744	1389
3745	2738
3746	2710
3747	2729
3748	2778
3749	2771
3750	2769
3751	2778
3752	2778
3753	2778
3754	2744
3755	2770
3756	2777
3757	2778
3758	2640
3759	2643
3760	2773
3761	2779
3762	2779
3763	2779
3764	2778
3767	2733
3768	2769
3769	2770
3770	2714
3771	2772
3772	2767
3773	2633
3774	2776
3775	2778
3776	2778
3777	2778
3778	2749
3781	2778
3782	2764
3783	2773
3784	2778
3785	2776
3786	2774
3787	2708
3788	2762
3789	2772
3790	2777
3791	2772
3792	2778
3793	2775
3794	2545
3795	2633
3796	2741
3797	2778
3798	2768
3799	2704
3800	2712
3801	2779
3802	2773
3803	2773
3804	2766
3805	2778
3806	2709
3807	2774
3808	2777
3809	2770
3810	2776
3811	2778
3812	2773
3813	2614
3814	1959
3815	2359
3816	2722
3817	2779
3818	2589
3819	2768
3820	2501
3821	2779
3822	2779
3823	2749
3824	2658
3825	2707
3826	2771
3827	2779
3828	2779
3829	2686
3830	2773
3831	2778
3832	2776
3833	2711
3834	2778
3835	2688
3836	2776
3837	2777
3838	2779
3839	2779
3840	2680
3841	2755
3842	2737
3843	2746
3844	2762
3845	2749
3846	2775
3847	2778
3848	2778
3850	2775
3851	2759
3852	2765
3854	2778
3856	2675
3857	2714
3858	2740
3859	2694
3860	2733
3861	2672
3862	2730
3864	2736
3865	2699
3866	2507
3867	2705
3868	2484
3869	2728
3870	2655
3871	2681
3872	2696
3873	2673
3874	2662
3875	2580
3876	2453
3878	2524
3880	2653
3881	2666
3882	2731
3883	2732
3884	2737
3885	2727
3886	2728
3887	2738
3891	2762
3892	2778
3893	2771
3894	2778
3895	2778
3896	2778
3897	2775
3898	2693
3899	2778
3900	2778
3901	2775
3902	2778
3903	2764
3905	2778
3906	2778
3907	2777
3908	2778
3909	2778
3910	2776
3911	2776
3912	2778
3913	2769
3914	2776
3915	2770
3916	2777
3917	2777
3918	2760
3919	2778
3920	2778
3921	2778
3922	2756
3923	2778
3924	2777
3925	2776
3926	2776
3927	2760
3928	2559
3930	2778
3931	2774
3932	2768
3933	2765
3934	2750
3935	2768
3936	2738
3937	2777
3938	2775
3939	2769
3940	2771
3941	2768
3942	2771
3943	2771
3944	2637
3945	2769
3946	2774
3947	2767
3948	2776
3949	2778
3950	2776
3951	2778
3952	2778
3953	2775
3954	2778
3956	2778
3957	2778
3958	2776
3959	2778
3960	2774
3961	2770
3962	2774
3963	2777
3964	2778
3965	2778
3966	2773
3967	2777
3970	2778
3971	2770
3972	2778
3973	2778
3974	2777
3975	2778
3976	2778
3977	2778
3978	2778
3979	2776
3980	2771
3981	2778
3982	2729
3992	2778
3993	2778
3994	2772
3995	2778
3996	2778
3997	2725
3998	2778
3999	2778
4000	2778
4001	2765
4002	2776
4003	2777
4004	2742
4005	2727
4006	2692
4008	2778
4009	2774
4010	2778
4011	2778
4012	2778
4013	2778
4014	2778
4015	2778
4016	2778
4017	2778
4018	2769
4019	2773
4021	2778
4022	2757
4023	2778
4024	2778
4025	2773
4026	2756
4027	2750
4028	2763
4029	2778
4030	2767
4031	2774
4032	2774
4033	2778
4034	2778
4035	2778
4036	2774
4037	2772
4039	2778
4040	2755
4041	2762
4042	2776
4043	2778
4044	2778
4045	2778
4046	2777
4047	2778
4048	2709
4049	2777
4050	2778
4051	2778
4052	2778
4053	2777
4054	2778
4055	2772
4056	2778
4057	2778
4058	2777
4059	2778
4060	2760
4061	2760
4062	2775
4064	2778
4066	2776
4067	2778
4068	2778
4070	2778
4071	2769
4073	2777
4074	2775
4075	2778
4076	2776
4077	2774
4078	2721
4079	2451
4080	2734
4081	2722
4082	2727
4083	2625
4084	2601
4085	2517
4086	2720
4087	2684
4088	2701
4089	2522
4090	2738
4091	2608
4092	2733
4093	2380
4094	2366
4095	2696
4096	2688
4097	2507
4099	2328
4100	2444
4101	2507
4102	2599
4103	2723
4104	2647
4105	2665
4106	2643
4107	1916
4108	2561
4109	2601
4110	2713
4111	2676
4112	2727
4113	2731
4114	2737
4115	2734
4116	2732
4117	2640
4118	2640
4119	2730
4120	2543
4121	2716
4122	2737
4123	2387
4124	2737
4125	2677
4126	2778
4127	2774
4129	2778
4130	2771
4132	2778
4133	2778
4134	2763
4135	2778
4136	2778
4137	2777
4139	2778
4140	2778
4141	2778
4142	2633
4143	2581
4144	2656
4145	2647
4146	2729
4147	2661
4148	2672
4149	2686
4150	2582
4151	2653
4152	2694
4153	2778
4154	2771
4155	2715
4156	2489
4157	2731
4158	1954
4159	2723
4160	2586
4161	2690
4162	2710
4163	2605
4164	2721
4167	2721
4168	2706
4169	2696
4170	1374
4171	2639
4172	2735
4173	2625
4174	2632
4175	2598
4176	2690
4177	2716
4178	2734
4179	2712
4180	2738
4181	2738
4182	2739
4183	2738
4184	2730
4185	2734
4186	2738
4187	2589
4188	2563
4189	2738
4190	2732
4191	2727
4192	2722
4193	2740
4194	2740
4195	2728
4196	2666
4197	2727
4198	2740
4199	2739
4200	2741
4201	2721
4202	2741
4203	2739
4204	2739
4205	2704
4206	2717
4207	2720
4208	2720
4209	2738
4211	2737
4212	2741
4213	2709
4214	2706
4215	2649
4216	2740
4217	2732
4218	2732
4219	2535
4220	2592
4221	2129
4222	2651
4223	2772
4224	2777
4225	2631
4226	2660
4227	2718
4228	2681
4229	2642
4230	2677
4231	2636
4232	2288
4233	2628
4234	2701
4235	2699
4236	2623
4237	2634
4238	2709
4239	2736
4243	2627
4244	2704
4245	2739
4246	2736
4247	2715
4248	2736
4249	2732
4250	2725
4251	2740
4252	2739
4254	2741
4256	2736
4257	2740
4258	2716
4259	2727
4260	2682
4261	2681
4262	2735
4263	2741
4264	2733
4265	2730
4266	2532
4268	2715
4269	2731
4270	2741
4282	2692
4283	2740
4284	2737
4285	2741
4286	2740
4287	2577
4289	2735
4290	2740
4291	2726
4292	2736
4293	2716
4294	2728
4295	2736
4296	2738
4297	2735
4298	2732
4301	2697
4303	2730
4304	2712
4305	2725
4306	2735
4307	2734
4308	2737
4309	2735
4310	2740
4311	2697
4312	2741
4313	2725
4314	2700
4315	2741
4316	2734
4317	2741
4318	1724
4319	2720
4320	2728
4321	2739
4322	2699
4323	2727
4324	2701
4325	2720
4326	2673
4327	2724
4328	2605
4329	2726
4330	2711
4331	2731
4337	2739
4338	2739
4339	2719
4340	2721
4341	2735
4342	2734
4343	2733
4345	2589
4346	2729
4347	2695
4348	2741
4349	2724
4350	2735
4351	2735
4352	2736
4353	2738
4354	2741
4355	2736
4356	2695
4357	2688
4358	2591
4359	2711
4360	2398
4361	2715
4362	2727
4363	2498
4364	2522
4365	2712
4366	2696
4367	2706
4369	2740
4370	2599
4371	2600
4372	2525
4373	2737
4375	2712
4376	2732
4377	2668
4379	2778
4380	2778
4381	2717
4382	2774
4383	2736
4384	2778
4385	2756
4386	2775
4387	2776
4388	2778
4389	2775
4390	2756
4391	2772
4392	2777
4393	2778
4394	2765
4395	2777
4400	2734
4402	2773
4403	2774
4404	2775
4405	2777
4406	2682
4407	2769
4408	2775
4409	2778
4410	2651
4411	2777
4412	2778
4413	2778
4414	2777
4415	2768
4416	2751
4417	2774
4418	2778
4419	2778
4421	2778
4422	2778
4423	2778
4424	2716
4425	2778
4426	2778
4427	2778
4428	2778
4429	2771
4430	2633
4431	2778
4432	2778
4433	2778
4434	2776
4436	2754
4437	2772
4438	2776
4439	2778
4440	2778
4441	2771
4442	2778
4443	2776
4444	2761
4445	2778
4446	2778
4447	2778
4448	2778
4449	2778
4450	2778
4451	2778
4452	2775
4453	2776
4454	2778
4455	2778
4456	2778
4457	2778
4458	2778
4459	2778
4460	2766
4461	2766
4462	2766
4464	2778
4470	2726
4471	2739
4472	2778
4473	2636
4475	2568
4476	2566
4477	2724
4479	1869
4480	2632
4481	2710
4483	2774
4484	2620
4485	2777
4486	2776
4487	2684
4488	2769
4489	2733
4490	2647
4491	2289
4492	2729
4495	2728
4496	2733
4497	2734
4498	2595
4500	2625
4501	2720
4502	2543
4503	2701
4504	2472
4505	2332
4506	2441
4507	2530
4508	2528
4509	2527
4510	2442
4511	2539
4512	2547
4513	2715
4514	2655
4515	2692
4516	2128
4517	2274
4518	2687
4519	2675
4520	2724
4521	2697
4522	2691
4523	2716
4524	2715
4525	2638
4526	2526
4527	2655
4528	2714
4529	2601
4530	2617
4531	2698
4532	2617
4533	2691
4534	2529
4535	2592
4536	2709
4537	2701
4538	2493
4539	2649
4540	2659
4543	2703
4545	2738
4546	2610
4547	2771
4548	2723
4549	2729
4550	2645
4551	2727
4552	2730
4553	2728
4554	2571
4555	2734
4556	2689
4557	2737
4558	2466
4559	2564
4560	2596
4561	2655
4562	2401
4563	2737
4564	2738
4565	2286
4566	2737
4567	2718
4568	2696
4569	2706
4570	2670
4572	2158
4573	2046
4574	2622
4575	2519
4576	2662
4577	2572
4578	2467
4579	2509
4580	2651
4581	2682
4582	2678
4585	2740
4586	2667
4587	2692
4588	2565
4589	2729
4590	2118
4591	2112
4592	2651
4593	2740
4594	2626
4595	2736
4596	2731
4597	2685
4598	2264
4599	1944
4600	2301
4601	2378
4602	2262
4603	2611
4604	2666
4605	2661
4606	2574
4607	2576
4608	2656
4609	2378
4610	2700
4611	2661
4612	2182
4614	2711
4615	2646
4616	2634
4617	2682
4618	2736
4619	2665
4620	2236
4621	2601
4622	2443
4623	2545
4624	2736
4625	2740
4626	2740
4627	2585
4628	65
4629	2737
4630	2055
4631	1970
4632	2
4633	2600
4634	2412
4635	2653
4636	2732
4637	2332
4638	2649
4639	2567
4640	2640
4641	2710
4642	2696
4643	2701
4644	2737
4645	2659
4647	2692
4648	2495
4649	2740
4650	2740
4651	2738
4652	2706
4653	2687
4654	2729
4655	2616
4656	2522
4657	2623
4658	2568
4659	1890
4661	2618
4662	2718
4663	2616
4664	2718
4665	2718
4666	2691
4667	2717
4668	2688
4669	2594
4670	2581
4671	2692
4672	2648
4673	2461
4674	2707
4675	2578
4676	2391
4677	1919
4678	2722
4679	2676
4680	2707
4681	2634
4682	2638
4683	2692
4684	2688
4686	2217
4687	2639
4688	2710
4689	2723
4690	2689
4691	2683
4692	2664
4693	2645
4695	2655
4696	2494
4697	2722
4698	2722
4699	2723
4700	1495
4701	2720
4702	2776
4703	2778
4704	2778
4706	2778
4707	2739
4708	2741
4709	2741
4710	2740
4711	2741
4712	2741
4713	2741
4714	2740
4715	2741
4717	2739
4718	2740
4719	2665
4720	2422
4722	2594
4723	2378
4725	2539
4726	2338
4727	2581
4728	2708
4729	2591
4730	2542
4731	2589
4732	2635
4733	2421
4734	2719
4737	2596
4738	2499
4739	2767
4740	2769
4741	2742
4742	2773
4743	2773
4744	2773
4745	2773
4746	2773
4747	2694
4748	2773
4749	2639
4750	2773
4751	1936
4752	2773
4753	2762
4754	2773
4755	2685
4756	2772
4757	2341
4758	2696
4759	2753
4760	2770
4761	2771
4762	2773
4763	2764
4764	2764
4765	2721
4766	2771
4767	2763
4768	2584
4769	2704
4770	2768
4771	2749
4772	2396
4773	2493
4774	2706
4775	2768
4776	2767
4777	2760
4779	2773
4780	2773
4781	2767
4782	2768
4783	2773
4784	2773
4785	2773
4786	2773
4787	2773
4788	2773
4789	2773
4790	2773
4791	1395
4792	2758
4793	2773
4794	2771
4795	2771
4796	2751
4797	2175
4798	2772
4799	2770
4802	2773
4803	2773
4804	2773
4805	2773
4806	2773
4807	2773
4808	2773
4809	2773
4810	2772
4811	1087
4812	2773
4813	2771
4817	2765
4818	1296
4819	2773
4820	2772
4821	2772
4822	2773
4823	2773
4824	2773
4825	2773
4826	2772
4827	2728
4828	2772
4829	2773
4830	1972
4831	2760
4832	2773
4833	2773
4834	2771
4835	2773
4836	2773
4837	2773
4838	2760
4839	2771
4840	1928
4841	2772
4842	2017
4843	2773
4845	2772
4846	2773
4847	2740
4848	2573
4849	2772
4850	2773
4851	2771
4852	2771
4853	2766
4854	1369
4855	2773
4856	2477
4857	2016
4858	2045
4859	1673
4860	2750
4861	2535
4866	2171
4867	2756
4868	2380
4869	2653
4870	2459
4871	2589
4872	2501
4873	2765
4874	2747
4875	2756
4876	2673
4877	2743
4878	2747
4879	2720
4880	2721
4881	2751
4882	876
4883	2743
4884	2770
4885	1982
4886	1475
4887	1735
4888	2710
4889	2260
4891	2767
4894	2773
4895	2773
4896	2772
4897	2772
4898	2772
4899	2770
4900	2772
4901	2773
4902	2773
4903	2773
4904	2726
4906	2773
4907	2707
4908	2620
4909	2773
4910	2772
4912	2667
4914	2730
4915	2760
4916	2580
4917	2202
4918	2761
4919	2642
4920	2773
4921	2689
4922	2770
4923	2770
4926	2770
4927	2768
4928	2649
4929	2770
4930	2769
4931	2770
4932	2770
4933	2769
4934	2770
4935	2770
4938	2770
4940	1573
4941	2769
4942	2765
4943	2770
4944	2770
4945	2769
4946	2699
4947	2769
4948	2763
4949	2770
4950	2770
4951	2739
4952	2770
4953	2769
4954	2768
4956	2769
4957	2698
4958	1766
4959	2770
4960	2769
4961	2763
4962	2770
4963	2770
4964	2731
4965	2769
4966	2765
4967	2770
4968	2769
4969	2770
4970	2688
4971	2770
4972	2742
4973	2769
4974	2769
4975	2707
4976	2745
4977	2770
4978	1354
4979	2761
4980	2769
4981	2740
4982	2755
4983	2768
4984	2770
4985	2770
4986	2770
4987	2770
